game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
822813,2026-05-24T16:15:00Z,PIT @ TOR,TOR,PIT,Dylan Cease,Mitch Keller,656302,656605.0,7,0.355,9.0,0.345
824839,2026-05-24T16:35:00Z,DET @ BAL,BAL,DET,Brandon Young,Framber Valdez,687064,664285.0,8,0.354,11.0,0.288
824840,2026-05-24T22:05:00Z,DET @ BAL,BAL,DET,Trevor Rogers,TBD,669432,,4,0.213,,
824759,2026-05-24T17:35:00Z,MIN @ BOS,BOS,MIN,Sonny Gray,Bailey Ober,543243,641927.0,11,0.345,11.0,0.211
823459,2026-05-24T17:35:00Z,CLE @ PHI,PHI,CLE,Andrew Painter,Parker Messick,691725,800048.0,1,0.16,0.0,
823544,2026-05-24T17:35:00Z,TB @ NYY,NYY,TB,Ryan Weathers,Drew Rasmussen,677960,656876.0,5,0.342,13.0,0.224
824514,2026-05-24T17:40:00Z,STL @ CIN,CIN,STL,Brady Singer,Matthew Liberatore,663903,669461.0,10,0.253,13.0,0.361
823861,2026-05-24T17:40:00Z,NYM @ MIA,MIA,NYM,Tyler Phillips,Christian Scott,663969,681035.0,10,0.363,2.0,0.353
824108,2026-05-24T18:10:00Z,SEA @ KC,KC,SEA,Seth Lugo,Bryan Woo,607625,693433.0,11,0.245,11.0,0.364
823786,2026-05-24T18:10:00Z,LAD @ MIL,MIL,LAD,Brandon Sproat,Yoshinobu Yamamoto,687075,808967.0,1,,10.0,0.344
824676,2026-05-24T18:20:00Z,HOU @ CHC,CHC,HOU,Shota Imanaga,Peter Lambert,684007,663567.0,2,0.197,8.0,0.425
823220,2026-05-24T20:05:00Z,CWS @ SF,SF,CWS,Robbie Ray,Noah Schultz,592662,702273.0,6,0.254,1.0,
825081,2026-05-24T20:10:00Z,COL @ AZ,AZ,COL,Ryne Nelson,Jose Quintana,669194,500779.0,6,0.301,7.0,0.31
823297,2026-05-24T20:10:00Z,ATH @ SD,SD,ATH,Michael King,TBD,650633,,9,0.378,,
824921,2026-05-24T20:10:00Z,WSH @ ATL,ATL,WSH,Martín Pérez,Foster Griffin,527048,656492.0,7,0.371,7.0,0.357
824028,2026-05-24T23:20:00Z,TEX @ LAA,LAA,TEX,Reid Detmers,TBD,672282,,11,0.285,,
