game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824255,2026-06-26T22:40:00Z,HOU @ DET,DET,HOU,Keider Montero,Spencer Arrighetti,672456.0,681293,0.99,,,,,,,,,,,,,,,,,,,7.6,2.46,9.0,0.352,13.0,21.68,7.3,8,0.557,22
823363,2026-06-26T22:40:00Z,CIN @ PIT,PIT,CIN,Paul Skenes,Andrew Abbott,694973.0,671096,0.99,,,,,,,,,,,,,,,,,,,0.1,0.86,9.0,0.215,64.0,3.34,3.29,9,0.263,45
824824,2026-06-26T23:05:00Z,WSH @ BAL,BAL,WSH,Trevor Rogers,Andrew Alvarez,669432.0,674841,1.01,,,,,,,,,,,,,,,,,,,4.85,4.48,8.0,0.422,39.0,0.96,0.96,8,0.477,12
822796,2026-06-26T23:07:00Z,TEX @ TOR,TOR,TEX,Patrick Corbin,Nathan Eovaldi,571578.0,543135,1.0,,,,,,,,,,,,,,,,,,,2.58,2.62,9.0,0.253,103.0,4.39,3.17,10,0.274,97
824423,2026-06-26T23:10:00Z,SEA @ CLE,CLE,SEA,Joey Cantillo,Luis Castillo,676282.0,622491,0.97,,,,,,,,,,,,,,,,,,,1.7,3.06,10.0,0.4,22.0,3.94,2.83,9,0.232,48
822962,2026-06-26T23:10:00Z,AZ @ TB,TB,AZ,Nick Martinez,Zac Gallen,607259.0,668678,0.97,,,,,,,,,,,,,,,,,,,6.28,4.71,9.0,0.426,52.0,3.46,4.6,7,0.318,23
823610,2026-06-26T23:10:00Z,PHI @ NYM,NYM,PHI,Zach Thornton,Zack Wheeler,804267.0,554430,0.98,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,4.45,3.19,13,0.288,127
824743,2026-06-26T23:10:00Z,NYY @ BOS,BOS,NYY,Payton Tolle,Will Warren,801139.0,701542,1.03,,,,,,,,,,,,,,,,,,,4.0,1.74,6.0,0.178,13.0,4.1,4.01,6,0.362,32
824582,2026-06-26T23:40:00Z,KC @ CWS,CWS,KC,David Sandlin,Steven Cruz,689818.0,674444,0.97,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,-1.4,0.65,6,0.19,5
823773,2026-06-26T23:45:00Z,CHC @ MIL,MIL,CHC,Jacob Misiorowski,Colin Rea,694819.0,607067,1.0,,,,,,,,,,,,,,,,,,,1.84,2.14,11.0,0.21,73.0,4.82,4.87,10,0.416,55
823688,2026-06-27T00:10:00Z,COL @ MIN,MIN,COL,Taj Bradley,Tomoyuki Sugano,671737.0,608372,1.01,,,,,,,,,,,,,,,,,,,3.79,3.08,6.0,0.31,29.0,6.81,3.66,8,0.35,21
823039,2026-06-27T00:15:00Z,MIA @ STL,STL,MIA,Michael McGreevy,Max Meyer,700241.0,676974,0.99,,,,,,,,,,,,,,,,,,,4.22,3.79,10.0,0.334,33.0,1.77,2.45,7,0.222,19
824014,2026-06-27T01:38:00Z,ATH @ LAA,LAA,ATH,Walbert Ureña,J.T. Ginn,700712.0,669372,0.97,,,,,,,,,,,,,,,,,,,1.65,2.08,11.0,0.257,38.0,2.85,1.91,12,0.287,58
823285,2026-06-27T01:45:00Z,LAD @ SD,SD,LAD,Walker Buehler,Roki Sasaki,621111.0,808963,0.95,,,,,,,,,,,,,,,,,,,6.69,4.73,8.0,0.35,44.0,,,1,0.104,1
823206,2026-06-27T02:15:00Z,ATL @ SF,SF,ATL,TBD,Reynaldo López,,625643,0.95,,,,,,,,,,,,,,,,,,,,,,,,2.83,3.24,9,0.312,65
