game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824593,2026-05-30T18:10:00Z,DET @ CWS,CWS,DET,Anthony Kay,Framber Valdez,641743,664285,,1,1.233,2,3.02,7,0.309,56
822731,2026-05-30T20:05:00Z,SD @ WSH,WSH,SD,Foster Griffin,Michael King,656492,650633,,1,0.689,0,6.1,3,0.348,8
822893,2026-05-30T20:05:00Z,KC @ TEX,TEX,KC,Kumar Rocker,Seth Lugo,677958,607625,0.92,8,,15,3.8,12,0.322,70
824833,2026-05-30T20:05:00Z,TOR @ BAL,BAL,TOR,Brandon Young,Trey Yesavage,687064,702056,2.87,6,0.33,20,,0,,0
823375,2026-05-30T20:05:00Z,MIN @ PIT,PIT,MIN,Mitch Keller,Bailey Ober,656605,641927,5.18,9,0.282,47,4.56,9,0.287,33
824431,2026-05-30T20:10:00Z,BOS @ CLE,CLE,BOS,Parker Messick,Sonny Gray,800048,543243,,2,0.394,3,3.79,9,0.186,71
822975,2026-05-30T20:10:00Z,LAA @ TB,TB,LAA,Drew Rasmussen,Reid Detmers,656876,672282,5.07,8,0.254,22,3.47,6,0.221,31
823622,2026-05-30T20:10:00Z,MIA @ NYM,NYM,MIA,Christian Scott,Tyler Phillips,681035,663969,2.2,9,0.311,24,2.22,11,0.236,30
824190,2026-05-30T20:10:00Z,MIL @ HOU,HOU,MIL,Peter Lambert,Brandon Sproat,663567,687075,6.15,10,0.315,24,,1,,1
823054,2026-05-30T23:15:00Z,CHC @ STL,STL,CHC,Kyle Leahy,Ben Brown,681517,676962,3.62,10,0.383,29,10.19,6,0.365,14
824513,2026-05-30T23:15:00Z,ATL @ CIN,CIN,ATL,Brady Singer,Martín Pérez,663903,527048,4.34,11,0.336,64,4.12,6,0.241,26
824352,2026-05-31T01:10:00Z,SF @ COL,COL,SF,Ryan Feltner,Adrian Houser,663372,605288,2.87,5,0.239,31,5.5,5,0.364,24
825000,2026-05-31T02:05:00Z,NYY @ ATH,ATH,NYY,J.T. Ginn,Ryan Weathers,669372,677960,0.46,6,0.227,12,4.53,8,0.314,28
823132,2026-05-31T02:10:00Z,AZ @ SEA,SEA,AZ,Bryan Woo,Ryne Nelson,693433,669194,2.7,6,0.286,25,3.9,9,0.249,18
823945,2026-05-31T02:10:00Z,PHI @ LAD,LAD,PHI,Roki Sasaki,Jesús Luzardo,808963,666200,1.96,8,0.242,24,3.38,10,0.285,101
