game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
824686,2026-05-01T18:20:00Z,AZ @ CHC,CHC,AZ,Colin Rea,Zac Gallen,607067.0,668678.0,11.0,0.329,12.0,0.271
824287,2026-05-01T22:40:00Z,TEX @ DET,DET,TEX,Jack Flaherty,MacKenzie Gore,656427.0,669022.0,11.0,0.442,7.0,0.445
823389,2026-05-01T22:45:00Z,CIN @ PIT,PIT,CIN,Mitch Keller,Brady Singer,656605.0,663903.0,11.0,0.329,12.0,0.414
822744,2026-05-01T22:45:00Z,MIL @ WSH,WSH,MIL,Jake Irvin,Jacob Misiorowski,663623.0,694819.0,0.0,,0.0,
823557,2026-05-01T23:05:00Z,BAL @ NYY,NYY,BAL,Will Warren,TBD,701542.0,,11.0,0.24,,
824772,2026-05-01T23:10:00Z,HOU @ BOS,BOS,HOU,TBD,Mike Burrows,,681347.0,,,11.0,0.318
822990,2026-05-01T23:10:00Z,SF @ TB,TB,SF,Shane McClanahan,Robbie Ray,663556.0,592662.0,6.0,0.345,6.0,0.212
823877,2026-05-01T23:10:00Z,PHI @ MIA,MIA,PHI,Eury Pérez,Zack Wheeler,691587.0,554430.0,6.0,0.346,6.0,0.236
823713,2026-05-02T00:10:00Z,TOR @ MIN,MIN,TOR,Simeon Woods Richardson,Patrick Corbin,680573.0,571578.0,12.0,0.367,11.0,0.386
823066,2026-05-02T00:15:00Z,LAD @ STL,STL,LAD,Matthew Liberatore,Emmet Sheehan,669461.0,686218.0,11.0,0.359,7.0,0.321
824366,2026-05-02T00:40:00Z,ATL @ COL,COL,ATL,Jose Quintana,Grant Holmes,500779.0,656550.0,12.0,0.315,8.0,0.187
824041,2026-05-02T01:38:00Z,NYM @ LAA,LAA,NYM,Walbert Urena,Christian Scott,700712.0,681035.0,0.0,,2.0,0.606
825012,2026-05-02T01:40:00Z,CLE @ ATH,ATH,CLE,J.T. Ginn,Joey Cantillo,669372.0,676282.0,2.0,0.457,2.0,
823309,2026-05-02T01:40:00Z,CWS @ SD,SD,CWS,Germán Márquez,Noah Schultz,608566.0,702273.0,4.0,0.284,0.0,
823146,2026-05-02T01:45:00Z,KC @ SEA,SEA,KC,Bryan Woo,Cole Ragans,693433.0,666142.0,10.0,0.257,11.0,0.316
