game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
823865,2026-05-19T20:10:00Z,ATL @ MIA,MIA,ATL,Braxton Garrett,Martín Pérez,666129,527048,11,0.299,5,0.399
824276,2026-05-19T22:40:00Z,CLE @ DET,DET,CLE,Keider Montero,Parker Messick,672456,800048,9,0.212,5,0.544
822979,2026-05-19T22:40:00Z,BAL @ TB,TB,BAL,Griffin Jax,Kyle Bradish,643377,680694,9,0.323,4,0.196
823464,2026-05-19T22:40:00Z,CIN @ PHI,PHI,CIN,Jesús Luzardo,Chase Burns,666200,695505,9,0.377,7,0.277
822736,2026-05-19T22:45:00Z,NYM @ WSH,WSH,NYM,Foster Griffin,Nolan McLean,656492,690997,2,,5,0.321
823548,2026-05-19T23:05:00Z,TOR @ NYY,NYY,TOR,Will Warren,Dylan Cease,701542,656302,10,0.459,10,0.371
824112,2026-05-19T23:40:00Z,BOS @ KC,KC,BOS,Bailey Falter,Ranger Suarez,663559,624133,9,0.334,10,0.232
823704,2026-05-19T23:40:00Z,HOU @ MIN,MIN,HOU,Zebby Matthews,Lance McCullers Jr.,805673,621121,1,,5,0.374
824677,2026-05-19T23:40:00Z,MIL @ CHC,CHC,MIL,Ben Brown,Jacob Misiorowski,676962,694819,10,0.243,9,0.232
823059,2026-05-19T23:45:00Z,PIT @ STL,STL,PIT,Matthew Liberatore,Mitch Keller,669461,656605,11,0.401,11,0.267
824356,2026-05-20T00:40:00Z,TEX @ COL,COL,TEX,Sammy Peralta,Tyler Alexander,671111,641302,1,0.076,9,0.355
824033,2026-05-20T01:38:00Z,ATH @ LAA,LAA,ATH,Reid Detmers,Jacob Lopez,672282,682052,8,0.414,0,
823302,2026-05-20T01:40:00Z,LAD @ SD,SD,LAD,Griffin Canning,Emmet Sheehan,656288,686218,11,0.362,8,0.149
825086,2026-05-20T01:40:00Z,SF @ AZ,AZ,SF,Ryne Nelson,Landen Roupp,669194,694738,8,0.328,8,0.409
823136,2026-05-20T01:40:00Z,CWS @ SEA,SEA,CWS,Bryce Miller,Anthony Kay,682243,641743,3,0.194,11,0.311
