game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
824522,2026-05-08T22:10:00Z,HOU @ CIN,CIN,HOU,Nick Lodolo,Mike Burrows,666157.0,681347,4.0,0.111,6,0.218
823466,2026-05-08T22:40:00Z,COL @ PHI,PHI,COL,Jesús Luzardo,Chase Dollander,666200.0,801403,9.0,0.321,9,0.274
824846,2026-05-08T23:05:00Z,ATH @ BAL,BAL,ATH,Kyle Bradish,Jacob Lopez,680694.0,682052,6.0,0.339,8,0.214
822822,2026-05-08T23:07:00Z,LAA @ TOR,TOR,LAA,Dylan Cease,Reid Detmers,656302.0,672282,8.0,0.285,10,0.271
824768,2026-05-08T23:10:00Z,TB @ BOS,BOS,TB,Connelly Early,Jesse Scholtens,813349.0,669947,8.0,0.345,7,0.366
823871,2026-05-08T23:10:00Z,WSH @ MIA,MIA,WSH,Robby Snelling,Foster Griffin,702281.0,656492,0.0,,5,
824443,2026-05-08T23:15:00Z,MIN @ CLE,CLE,MIN,Parker Messick,Connor Prielipp,800048.0,687570,7.0,0.155,0,
824116,2026-05-08T23:40:00Z,DET @ KC,KC,DET,Kris Bubic,Keider Montero,663460.0,672456,11.0,0.374,10,0.242
824607,2026-05-08T23:40:00Z,SEA @ CWS,CWS,SEA,Sean Burke,Emerson Hancock,680732.0,676106,9.0,0.785,3,0.441
823794,2026-05-08T23:40:00Z,NYY @ MIL,MIL,NYY,Jacob Misiorowski,Max Fried,694819.0,608331,0.0,,9,0.345
822904,2026-05-09T00:05:00Z,CHC @ TEX,TEX,CHC,Kumar Rocker,Ben Brown,677958.0,676962,6.0,,6,0.348
825088,2026-05-09T01:40:00Z,NYM @ AZ,AZ,NYM,Ryne Nelson,Nolan McLean,669194.0,690997,13.0,0.263,8,0.194
823303,2026-05-09T01:45:00Z,STL @ SD,SD,STL,Griffin Canning,Michael McGreevy,656288.0,700241,8.0,0.204,8,0.288
823957,2026-05-09T02:10:00Z,ATL @ LAD,LAD,ATL,Emmet Sheehan,Chris Sale,686218.0,519242,8.0,0.206,10,0.23
823225,2026-05-09T02:15:00Z,PIT @ SF,SF,PIT,TBD,Carmen Mlodzinski,,669387,,,9,0.179
