game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
824776,2026-04-20T15:10:00Z,DET @ BOS,BOS,DET,Sonny Gray,Jack Flaherty,543243.0,656427,11.0,0.255,11,0.225
824450,2026-04-20T22:10:00Z,HOU @ CLE,CLE,HOU,Slade Cecconi,Spencer Arrighetti,677944.0,681293,7.0,0.286,6,0.252
822994,2026-04-20T22:40:00Z,CIN @ TB,TB,CIN,TBD,Rhett Lowder,,695076,,,0,
823879,2026-04-20T22:40:00Z,STL @ MIA,MIA,STL,Max Meyer,Michael McGreevy,676974.0,700241,7.0,0.287,10,0.348
822749,2026-04-20T22:45:00Z,ATL @ WSH,WSH,ATL,Jake Irvin,Bryce Elder,663623.0,693821,12.0,0.32,8,0.35
824125,2026-04-20T23:40:00Z,BAL @ KC,KC,BAL,Seth Lugo,Kyle Bradish,607625.0,680694,5.0,0.304,3,0.206
824692,2026-04-20T23:40:00Z,PHI @ CHC,CHC,PHI,Colin Rea,Aaron Nola,607067.0,605400,11.0,0.322,11,0.324
824370,2026-04-21T00:40:00Z,LAD @ COL,COL,LAD,Jose Quintana,Justin Wrobleski,500779.0,680736,10.0,0.379,6,0.223
824046,2026-04-21T01:38:00Z,TOR @ LAA,LAA,TOR,Reid Detmers,Dylan Cease,672282.0,656302,9.0,0.279,10,0.306
823149,2026-04-21T01:40:00Z,ATH @ SEA,SEA,ATH,Emerson Hancock,J.T. Ginn,676106.0,669372,7.0,0.232,9,0.312
