date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
8/23,,vs,ND,4.0,2,5,5,2,4,5,80
8/18,,@,L 0-1,4.2,7,6,5,1,2,3,92
8/12,,@,ND,6.0,8,5,5,1,1,5,89
8/6,,vs,L 0-1,5.0,5,4,4,1,2,5,93
7/31,,vs,ND,5.1,3,2,2,1,2,3,87
7/24,,@,L 0-1,5.1,6,5,5,2,1,0,89
7/17,,vs,L 0-1,5.2,7,3,2,1,1,6,91
7/9,,@,L 0-1,5.0,9,6,4,1,4,3,81
7/2,,vs,W 1-0,7.0,2,0,0,0,0,8,90
6/25,,@,L 0-1,5.2,5,3,3,2,0,11,90
6/19,,vs,L 0-1,5.0,3,1,1,1,0,7,66
6/12,,@,W 1-0,8.0,4,2,2,2,0,7,91
6/6,,@,W 1-0,6.0,1,0,0,0,2,9,94
5/31,,vs,ND,5.0,1,0,0,0,1,6,71
5/25,,@,W 1-0,5.0,5,2,2,1,0,4,83
5/19,,vs,ND,5.2,1,0,0,0,1,7,72
5/13,,@,ND,5.1,8,2,2,1,1,3,81
