date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/5,,@,ND,1.1,0,0,0,0,0,2,17
6/2,,@,ND,1.2,3,2,2,1,1,0,33
5/30,,vs,ND,1.0,0,0,0,0,0,3,16
5/29,,vs,ND,1.0,1,1,1,0,1,0,12
5/27,,vs,ND,1.0,1,0,0,0,1,2,19
5/24,,@,ND,0.2,1,0,0,0,0,0,8
5/21,,@,ND,1.0,0,0,0,0,0,0,9
5/18,,@,W 1-0,2.0,1,1,0,0,2,1,22
5/16,,vs,ND,1.1,0,0,0,0,0,2,24
5/13,,vs,ND,2.1,0,0,0,0,0,2,25
5/10,,@,L 0-1,1.0,0,2,2,0,3,0,30
5/7,,@,ND,1.0,1,1,1,0,2,1,25
5/4,,@,ND,1.0,0,0,0,0,0,0,11
5/2,,@,ND,1.1,0,0,0,0,0,1,18
5/1,,@,W 1-0,1.0,0,0,0,0,0,1,11
4/26,,vs,ND,2.0,2,1,1,0,1,1,31
4/23,,vs,ND,0.2,1,1,1,1,0,0,10
4/21,,vs,ND,1.1,0,0,0,0,0,2,16
4/19,,@,ND,0.1,0,0,0,0,2,1,13
4/17,,@,ND,0.2,2,0,0,0,0,1,15
4/11,,vs,ND,2.2,2,0,0,0,0,3,38
4/7,,vs,ND,0.1,2,0,0,0,0,0,14
4/5,,@,W 1-0,1.1,0,0,0,0,0,0,10
4/3,,@,ND,1.0,1,0,0,0,0,1,24
4/1,,@,ND,0.2,1,0,0,0,0,1,13
3/29,,vs,ND,1.2,0,0,0,0,0,0,14
3/28,,vs,ND,0.2,0,0,0,0,0,1,4
