date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/27,,vs,ND,5.2,4,2,2,1,3,8,99
6/21,,@,ND,6.0,6,5,5,0,4,4,90
6/16,,@,W 1-0,7.0,4,0,0,0,0,3,90
6/10,,vs,ND,7.0,1,1,1,1,0,9,89
6/5,,@,ND,6.0,2,0,0,0,2,6,91
5/30,,@,W 1-0,5.0,5,3,3,1,3,7,92
5/24,,vs,ND,8.0,1,1,1,1,0,14,96
5/19,,vs,L 0-1,5.2,8,8,8,0,2,8,92
5/13,,@,L 0-1,5.2,5,4,2,1,2,6,102
5/8,,@,L 0-1,3.2,2,2,2,0,6,3,99
5/2,,vs,ND,6.1,9,3,3,0,0,8,95
4/26,,@,ND,5.0,5,3,3,1,1,5,93
4/20,,vs,L 0-1,6.0,5,4,4,1,2,5,90
4/14,,@,W 1-0,7.0,4,1,1,0,0,9,99
4/8,,vs,L 0-1,4.1,5,6,5,1,2,4,92
4/3,,vs,ND,6.2,3,0,0,0,4,4,104
3/28,,@,ND,4.2,6,3,3,0,0,9,95
