date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-07-31 00:00:00,,@,ND,5.0,4,3,3,1,2,10,101
2026-07-24 00:00:00,,vs,L 0-1,6.0,3,2,2,0,3,1,92
2026-07-19 00:00:00,,@,L 0-1,3.0,9,10,8,1,3,4,87
2026-07-10 00:00:00,,vs,L 0-1,6.0,9,4,4,1,2,3,102
2026-07-04 00:00:00,,@,ND,4.2,3,4,4,2,4,5,79
2026-06-29 00:00:00,,@,W 1-0,7.0,4,1,1,1,1,7,89
2026-06-22 00:00:00,,vs,L 0-1,6.0,6,2,2,2,2,5,108
2026-06-16 00:00:00,,@,W 1-0,7.0,8,2,2,0,0,4,93
2026-06-11 00:00:00,,@,L 0-1,6.0,9,7,7,3,1,4,81
2026-06-05 00:00:00,,vs,W 1-0,7.0,5,2,2,0,4,2,100
2026-05-31 00:00:00,,@,L 0-1,4.1,6,7,7,2,2,7,100
2026-05-25 00:00:00,,@,L 0-1,6.0,5,3,3,2,1,6,88
2026-05-19 00:00:00,,vs,L 0-1,6.0,5,2,2,1,0,6,100
2026-05-14 00:00:00,,vs,W 1-0,7.0,4,0,0,0,1,5,83
