date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/18,,vs,W 1-0,7.0,3,0,0,0,1,9,89
6/11,,@,L 0-1,5.0,7,7,7,2,1,4,82
6/5,,@,L 0-1,6.1,9,5,5,1,0,7,90
5/30,,vs,W 1-0,7.0,2,0,0,0,0,9,86
5/24,,@,L 0-1,4.2,6,4,4,0,2,4,91
5/18,,vs,W 1-0,6.0,3,0,0,0,2,8,90
5/12,,@,W 1-0,6.0,4,2,2,0,2,9,104
5/6,,vs,W 1-0,6.0,1,0,0,0,2,9,98
5/1,,vs,ND,6.0,7,6,6,2,0,2,84
4/25,,@,ND,3.0,9,7,7,4,0,1,53
4/19,,vs,W 1-0,7.0,4,2,2,0,1,6,85
4/14,,@,L 0-1,7.0,8,3,3,0,1,3,92
4/8,,@,L 0-1,5.0,5,3,1,0,2,2,83
4/3,,@,ND,7.0,1,0,0,0,1,6,87
3/28,,vs,ND,6.0,4,2,2,0,1,9,83
