date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/27,,vs,ND,0.1,1,1,1,1,1,0,10
7/25,,vs,ND,1.0,1,0,0,0,0,0,11
7/23,,vs,ND,1.2,1,0,0,0,0,0,26
7/20,,@,ND,1.0,2,1,0,0,0,0,13
7/19,,@,ND,1.1,1,0,0,0,0,2,20
7/11,,vs,ND,1.0,1,0,0,0,0,1,9
7/8,,vs,ND,1.0,0,0,0,0,0,1,14
7/4,,@,ND,0.1,0,0,0,0,0,0,4
6/30,,@,ND,1.0,2,1,1,0,1,0,25
6/28,,vs,ND,1.2,1,2,0,1,0,0,21
6/25,,vs,ND,1.0,1,0,0,0,0,0,18
6/23,,vs,ND,1.0,1,0,0,0,1,2,17
6/20,,vs,ND,2.0,2,0,0,0,0,2,21
6/15,,@,ND,1.2,1,0,0,0,0,2,28
6/13,,@,ND,1.0,1,0,0,0,0,0,6
6/11,,vs,ND,1.2,1,0,0,0,0,2,25
6/9,,vs,ND,0.1,1,0,0,0,0,1,16
6/7,,vs,ND,0.1,1,0,0,0,0,0,9
6/5,,vs,ND,0.1,3,1,1,0,0,0,15
6/1,,@,W 1-0,1.2,1,0,0,0,0,1,23
5/31,,@,ND,0.1,0,0,0,0,0,0,5
5/26,,vs,ND,1.1,1,1,1,1,0,3,25
5/24,,@,ND,1.1,0,0,0,0,0,2,20
5/20,,vs,L 0-1,1.0,2,2,1,0,0,1,18
5/19,,vs,L 0-1,2.0,1,1,1,0,0,2,22
5/16,,vs,L 0-1,1.0,2,1,0,0,0,0,11
5/14,,@,ND,0.1,2,2,2,1,0,0,7
5/12,,@,ND,1.1,0,0,0,0,0,3,19
5/9,,@,ND,1.2,1,0,0,0,0,0,13
5/8,,@,ND,1.0,0,0,0,0,0,1,14
5/4,,vs,ND,1.0,2,0,0,0,0,1,22
5/3,,vs,ND,0.2,1,0,0,0,0,1,17
4/28,,@,ND,1.0,4,2,2,1,0,1,20
4/25,,@,ND,1.0,2,2,2,0,1,0,28
4/23,,vs,ND,1.0,2,0,0,0,1,0,18
4/20,,@,L 0-1,0.2,4,3,3,0,2,1,26
4/18,,@,ND,2.0,0,0,0,0,0,2,28
4/16,,vs,ND,0.1,1,1,1,1,0,0,13
4/15,,vs,ND,0.2,2,0,0,0,0,0,14
4/9,,@,ND,1.1,1,0,0,0,1,2,24
4/7,,@,ND,1.1,0,0,0,0,0,1,16
4/4,,vs,ND,1.0,1,0,0,0,0,0,19
4/3,,vs,ND,1.0,0,0,0,0,0,1,7
3/30,,@,ND,1.0,0,0,0,0,2,1,19
3/26,,@,ND,0.2,0,0,0,0,1,0,11
