date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-07-31 00:00:00,,@,W 1-0,6.0,4,2,2,1,1,7,86
2026-07-24 00:00:00,,vs,L 0-1,6.0,6,5,5,0,2,6,92
2026-07-18 00:00:00,,vs,W 1-0,6.0,5,3,3,0,1,9,90
2026-07-11 00:00:00,,@,L 0-1,6.1,5,3,3,1,0,6,83
2026-07-06 00:00:00,,@,W 1-0,6.0,6,3,1,0,2,2,85
2026-07-01 00:00:00,,vs,ND,5.2,6,2,2,1,1,7,78
2026-06-24 00:00:00,,@,ND,4.1,5,0,0,0,3,5,98
2026-06-18 00:00:00,,vs,ND,5.0,3,1,1,1,3,3,91
2026-06-13 00:00:00,,vs,L 0-1,5.0,8,4,4,1,0,7,78
2026-06-07 00:00:00,,@,W 1-0,6.1,5,3,3,0,1,4,83
2026-06-01 00:00:00,,vs,ND,4.0,4,2,2,1,2,5,68
2026-05-27 00:00:00,,vs,ND,2.0,1,0,0,0,0,1,27
2026-05-24 00:00:00,,vs,ND,3.0,2,2,2,1,0,5,40
2026-05-22 00:00:00,,vs,ND,1.1,1,1,0,0,2,2,39
2026-05-18 00:00:00,,@,W 1-0,4.1,4,0,0,0,0,5,42
2026-05-12 00:00:00,,vs,ND,0.2,0,0,0,0,0,2,14
2026-05-08 00:00:00,,vs,ND,3.0,1,0,0,0,0,3,40
2026-05-04 00:00:00,,@,ND,1.1,1,1,1,0,1,1,23
2026-04-30 00:00:00,,vs,W 1-0,4.0,5,1,1,0,0,4,60
2026-04-28 00:00:00,,vs,ND,1.0,0,0,0,0,0,1,10
2026-04-24 00:00:00,,vs,ND,4.0,4,3,1,0,1,2,71
2026-04-08 00:00:00,,@,L 0-1,2.2,3,3,3,0,4,2,63
