date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-07-30 00:00:00,,@,W 1-0,6.0,4,1,1,0,1,6,86
2026-07-25 00:00:00,,vs,W 1-0,6.0,6,0,0,0,2,5,80
2026-07-19 00:00:00,,@,ND,4.0,8,3,1,0,2,6,86
2026-07-10 00:00:00,,vs,ND,5.0,4,1,1,0,6,4,100
2026-07-04 00:00:00,,@,W 1-0,6.0,5,3,3,1,3,4,88
2026-06-28 00:00:00,,vs,W 1-0,8.0,4,1,0,0,1,2,95
2026-06-23 00:00:00,,vs,W 1-0,8.0,2,1,0,0,4,6,102
2026-06-16 00:00:00,,@,W 1-0,6.1,2,0,0,0,2,8,94
2026-06-10 00:00:00,,vs,ND,5.2,7,5,5,1,0,3,93
2026-06-05 00:00:00,,@,W 1-0,5.0,2,0,0,0,5,4,97
2026-05-31 00:00:00,,@,ND,4.0,5,3,1,0,2,6,96
2026-05-24 00:00:00,,vs,ND,4.0,2,4,4,1,7,3,92
2026-05-18 00:00:00,,@,L 0-1,4.1,11,10,9,2,2,1,84
2026-05-13 00:00:00,,@,L 0-1,4.2,7,4,3,2,2,2,95
2026-05-08 00:00:00,,vs,W 1-0,6.0,4,1,1,1,4,7,93
2026-05-01 00:00:00,,@,L 0-1,6.1,4,3,3,2,0,5,102
2026-04-25 00:00:00,,vs,ND,5.0,4,1,1,0,3,4,97
2026-04-19 00:00:00,,@,L 0-1,6.0,7,3,3,1,1,7,93
2026-04-14 00:00:00,,@,L 0-1,5.0,2,2,2,2,4,6,94
2026-04-07 00:00:00,,vs,W 1-0,6.2,3,0,0,0,3,7,109
2026-04-02 00:00:00,,vs,W 1-0,5.1,3,2,2,1,3,7,96
2026-03-27 00:00:00,,vs,L 0-1,5.1,5,2,2,1,0,4,89
