date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
9/7,,vs,W 1-0,5.0,4,0,0,0,2,7,103
9/2,,vs,ND,3.0,7,4,4,0,2,0,69
8/29,,@,L 0-1,4.1,5,4,4,0,1,2,94
8/24,,@,ND,2.0,2,1,1,0,2,1,42
8/17,,vs,W 1-0,4.2,3,1,1,0,1,3,76
8/9,,vs,ND,4.0,3,1,1,0,0,4,51
8/6,,vs,W 1-0,2.0,3,1,0,0,1,1,28
8/4,,vs,ND,3.0,0,0,0,0,0,2,28
7/31,,@,W 1-0,4.0,3,0,0,0,1,3,58
7/22,,vs,ND,5.1,4,0,0,0,1,5,85
7/12,,@,ND,4.1,2,1,1,1,0,5,55
6/4,,vs,L 0-1,5.0,7,8,8,0,3,4,108
5/29,,@,ND,7.0,4,0,0,0,0,5,63
5/23,,vs,ND,5.0,8,2,0,0,1,5,92
5/17,,@,L 0-1,5.0,8,7,7,2,3,1,98
5/12,,vs,ND,6.1,4,1,1,0,1,5,88
5/5,,@,W 1-0,7.0,4,1,1,0,1,7,94
4/29,,@,L 0-1,3.2,6,4,4,0,2,2,63
4/24,,@,L 0-1,3.1,13,8,8,5,1,2,85
4/18,,vs,L 0-1,4.0,5,4,4,1,3,4,84
4/12,,@,W 1-0,6.2,6,2,2,1,2,2,94
4/6,,vs,ND,3.1,5,4,3,0,4,5,86
3/31,,@,L 0-1,4.2,8,6,5,1,3,2,92
