date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
8/13,,@,W 1-0,8.0,2,0,0,0,2,4,91
8/7,,vs,W 1-0,6.0,2,1,1,1,0,14,84
8/1,,@,ND,6.0,9,2,2,1,2,7,88
7/27,,@,W 1-0,5.1,5,2,2,2,1,7,90
7/20,,vs,ND,5.2,8,4,4,1,1,9,88
7/12,,@,ND,3.2,3,1,1,0,1,7,66
7/7,,@,W 1-0,6.0,2,0,0,0,1,6,91
7/1,,vs,L 0-1,3.0,7,6,6,2,3,5,76
6/26,,vs,W 1-0,7.0,1,0,0,0,2,7,88
6/21,,@,L 0-1,6.0,6,3,3,1,2,2,79
6/16,,vs,L 0-1,5.0,4,3,3,2,2,6,90
6/9,,@,L 0-1,6.0,9,4,4,0,1,3,94
6/3,,vs,W 1-0,6.0,7,0,0,0,2,5,99
5/28,,vs,ND,4.2,5,2,2,0,2,7,94
5/22,,vs,ND,6.0,4,3,3,0,2,9,85
5/16,,@,W 1-0,8.0,4,2,2,1,1,3,85
5/10,,vs,L 0-1,5.0,6,3,1,1,0,4,81
5/4,,@,W 1-0,7.0,1,2,0,0,1,8,83
4/28,,@,L 0-1,4.2,3,3,3,0,4,4,68
4/23,,vs,ND,6.0,3,1,1,1,1,11,93
