date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
9/3,,vs,ND,0.2,1,0,0,0,0,1,14
8/28,,@,W 1-0,6.2,5,1,1,0,1,10,102
8/22,,vs,ND,5.2,7,1,1,1,3,4,101
8/16,,vs,L 0-1,5.0,3,2,2,1,5,5,90
8/11,,@,L 0-1,5.0,5,3,3,1,3,4,89
8/5,,vs,ND,6.0,3,3,3,1,2,8,93
7/31,,vs,W 1-0,5.2,6,2,2,1,2,5,104
7/25,,@,W 1-0,7.0,2,0,0,0,0,7,90
7/19,,vs,L 0-1,4.2,3,4,4,0,6,4,92
7/10,,@,ND,6.0,4,3,3,1,5,4,98
7/4,,vs,ND,4.0,6,7,6,2,4,3,82
6/28,,@,ND,6.0,5,3,2,1,2,4,103
6/22,,@,ND,3.0,4,1,1,1,2,4,85
6/16,,vs,ND,5.2,3,1,1,0,3,7,92
3/31,,vs,W 1-0,6.0,1,1,1,0,2,8,78
3/26,,vs,ND,4.2,4,0,0,0,4,9,102
