date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-07-31 00:00:00,,@,ND,6.0,6,1,1,0,1,3,98
2026-07-26 00:00:00,,vs,ND,6.0,6,2,2,2,1,9,102
2026-07-20 00:00:00,,@,ND,6.0,3,1,1,1,0,4,95
2026-07-10 00:00:00,,vs,ND,3.0,1,0,0,0,0,2,44
2026-07-04 00:00:00,,@,W 1-0,5.0,3,0,0,0,2,6,77
2026-06-28 00:00:00,,vs,W 1-0,5.0,2,1,1,0,3,5,87
2026-06-23 00:00:00,,vs,ND,6.1,3,0,0,0,2,3,85
2026-06-17 00:00:00,,vs,L 0-1,6.0,7,3,3,0,1,7,81
2026-06-12 00:00:00,,@,ND,5.0,8,4,4,1,1,5,77
2026-06-05 00:00:00,,vs,ND,4.0,5,3,3,0,2,1,79
2026-05-30 00:00:00,,vs,ND,4.1,6,1,1,0,0,4,78
2026-05-23 00:00:00,,@,ND,5.0,7,5,5,2,2,8,87
2026-05-16 00:00:00,,vs,W 1-0,6.0,5,1,1,0,3,2,90
2026-05-10 00:00:00,,@,ND,5.0,2,0,0,0,4,5,95
2026-05-04 00:00:00,,vs,W 1-0,5.1,6,1,1,0,2,5,94
2026-04-28 00:00:00,,@,W 1-0,5.1,9,3,3,2,0,7,82
2026-04-22 00:00:00,,@,L 0-1,5.0,8,4,4,0,3,2,89
2026-04-17 00:00:00,,@,W 1-0,5.0,5,3,3,3,0,6,83
2026-04-11 00:00:00,,vs,L 0-1,4.0,3,2,2,0,3,2,71
2026-04-05 00:00:00,,@,W 1-0,5.0,5,2,2,1,3,4,97
2026-03-30 00:00:00,,vs,L 0-1,5.0,8,4,4,0,2,1,79
