date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/7,,@,ND,1.1,0,0,0,0,1,1,20
7/5,,vs,ND,1.0,1,0,0,0,1,1,23
7/3,,vs,ND,1.0,0,0,0,0,0,2,10
7/1,,vs,ND,1.2,0,0,0,0,1,1,19
6/28,,@,ND,2.0,1,0,0,0,0,1,14
6/27,,@,ND,1.0,0,0,0,0,0,0,4
6/25,,@,ND,1.0,1,0,0,0,0,1,17
6/22,,@,ND,1.2,0,0,0,0,0,2,18
6/21,,vs,ND,1.1,0,0,0,0,0,0,7
6/17,,vs,ND,2.1,3,1,1,1,1,2,33
6/9,,@,ND,1.2,3,0,0,0,0,1,24
6/8,,@,ND,0.2,2,1,1,1,0,1,14
6/5,,vs,ND,2.0,0,0,0,0,0,2,21
6/3,,vs,ND,1.2,1,0,0,0,0,1,10
5/29,,@,ND,2.0,2,1,1,0,1,1,33
5/21,,vs,ND,2.0,2,0,0,0,0,2,22
5/18,,vs,W 1-0,1.2,1,0,0,0,0,1,20
5/16,,@,ND,1.0,1,0,0,0,1,1,24
5/13,,@,ND,2.0,2,3,3,1,2,1,36
5/10,,@,ND,0.2,1,0,0,0,1,1,18
5/7,,vs,ND,1.0,0,0,0,0,2,0,24
5/4,,vs,ND,1.0,1,0,0,0,0,0,17
5/2,,vs,ND,2.0,0,0,0,0,1,2,29
4/26,,@,ND,3.0,2,1,1,0,0,2,43
4/18,,vs,ND,2.0,2,2,2,0,1,1,32
4/14,,vs,ND,1.0,3,1,1,0,1,1,25
4/13,,vs,W 1-0,1.0,0,0,0,0,0,0,6
4/9,,vs,ND,1.0,1,0,0,0,0,1,19
4/4,,vs,ND,1.2,3,1,0,0,0,2,28
3/30,,@,L 0-1,1.1,3,1,1,0,1,0,22
