date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/18,,@,ND,2.1,11,8,8,0,0,2,48
7/12,,vs,ND,2.0,0,0,0,0,2,1,30
7/8,,vs,ND,2.0,3,1,1,1,0,2,36
7/4,,vs,ND,3.0,2,0,0,0,3,0,40
6/30,,@,L 0-1,4.2,11,6,6,1,1,8,82
6/24,,vs,L 0-1,5.2,8,3,3,2,1,6,100
6/19,,@,L 0-1,5.1,6,4,4,2,3,5,95
6/13,,vs,ND,5.2,5,1,1,1,2,6,96
6/7,,@,ND,3.0,1,0,0,0,5,4,70
5/7,,@,L 0-1,3.0,1,3,3,1,4,1,59
5/2,,@,L 0-1,1.1,5,8,8,0,4,1,52
4/26,,vs,ND,5.0,6,2,2,0,1,7,94
4/20,,@,W 1-0,6.0,5,1,1,0,2,3,93
4/15,,vs,W 1-0,6.2,5,3,3,0,1,4,90
4/9,,@,L 0-1,5.1,8,5,4,0,2,2,95
4/4,,@,W 1-0,6.0,3,0,0,0,2,4,82
3/29,,vs,ND,5.0,3,2,2,1,2,5,86
