date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/21,,vs,ND,0.1,1,0,0,0,0,0,12
7/10,,@,ND,5.0,7,3,3,1,3,3,96
7/5,,vs,W 1-0,5.0,3,1,1,0,1,4,69
6/28,,@,ND,4.0,6,4,4,1,3,4,86
6/23,,@,W 1-0,5.0,3,1,1,0,4,6,87
6/17,,@,W 1-0,5.2,3,1,1,0,1,5,91
6/12,,vs,L 0-1,0.2,5,8,8,2,3,0,49
6/6,,@,ND,5.0,2,1,1,0,3,3,70
6/1,,@,W 1-0,5.0,2,1,1,1,4,5,86
5/26,,vs,ND,3.0,7,3,3,0,2,1,67
5/19,,vs,ND,3.0,1,0,0,0,1,3,51
5/14,,@,ND,2.0,0,0,0,0,2,2,33
5/12,,@,ND,1.1,0,0,0,0,1,2,27
5/8,,vs,ND,1.0,1,0,0,0,0,1,18
5/6,,vs,L 0-1,2.0,2,2,2,0,2,2,49
5/2,,@,ND,2.0,0,0,0,0,0,1,23
4/29,,@,ND,1.0,2,1,1,0,0,2,20
4/8,,@,ND,3.0,6,1,1,0,1,2,62
4/4,,vs,L 0-1,3.0,8,5,5,1,3,4,73
