date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
9/5,,vs,ND,1.0,1,0,0,0,2,1,21
8/30,,@,W 1-0,5.2,8,5,5,1,3,4,99
8/25,,@,W 1-0,6.2,6,1,1,1,0,5,99
8/19,,vs,ND,5.2,8,3,3,1,1,6,95
8/14,,@,ND,5.1,5,2,2,0,3,3,88
6/3,,@,L 0-1,3.0,6,3,3,1,2,1,56
5/28,,vs,ND,6.0,4,1,1,1,1,2,80
5/22,,vs,W 1-0,4.1,6,3,3,0,0,4,58
5/16,,@,L 0-1,5.0,6,4,4,1,1,4,82
5/10,,vs,W 1-0,6.0,4,1,1,0,1,6,94
5/5,,@,ND,4.0,6,4,4,0,3,3,76
4/30,,vs,W 1-0,6.2,7,1,1,0,1,7,94
4/22,,@,W 1-0,5.1,8,5,5,2,2,3,88
4/17,,@,ND,5.0,4,0,0,0,4,2,100
4/11,,vs,ND,4.2,7,2,1,0,1,2,89
4/5,,@,L 0-1,2.0,6,6,6,1,2,0,62
3/30,,vs,L 0-1,4.1,6,4,4,0,4,3,100
