date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-01 00:00:00,,@,L 0-1,5.0,3,1,1,0,0,4,67
2026-07-27 00:00:00,,vs,ND,3.1,2,3,3,0,2,5,72
2026-07-21 00:00:00,,@,L 0-1,3.2,11,5,5,1,0,2,80
2026-07-12 00:00:00,,vs,W 1-0,5.0,4,1,1,1,0,4,74
2026-07-07 00:00:00,,vs,L 0-1,5.0,7,4,4,2,3,3,92
2026-07-01 00:00:00,,@,L 0-1,4.1,2,3,3,1,4,7,87
2026-05-24 00:00:00,,@,L 0-1,4.0,6,6,6,1,1,1,70
2026-05-18 00:00:00,,@,L 0-1,5.1,5,3,3,1,0,6,91
2026-05-13 00:00:00,,vs,ND,4.1,2,3,3,0,5,3,76
2026-05-06 00:00:00,,@,L 0-1,3.2,7,7,7,1,4,3,79
2026-05-01 00:00:00,,@,W 1-0,6.0,2,0,0,0,3,2,87
2026-04-25 00:00:00,,vs,ND,6.0,4,2,2,0,4,8,85
2026-04-19 00:00:00,,@,W 1-0,5.0,1,1,1,1,1,6,82
2026-04-14 00:00:00,,vs,L 0-1,4.1,3,4,3,0,4,4,82
