date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/19,,@,ND,0.0,0,0,0,0,0,0,0
7/12,,vs,W 1-0,5.1,3,2,2,0,1,7,82
7/7,,vs,W 1-0,6.0,8,2,2,0,1,4,95
7/1,,@,L 0-1,4.0,6,8,7,2,2,5,81
6/26,,vs,ND,5.0,6,4,4,0,2,7,96
6/20,,@,L 0-1,6.0,4,2,2,1,2,8,104
6/14,,vs,L 0-1,6.0,4,2,2,2,1,10,104
6/9,,vs,ND,6.0,6,2,2,0,2,7,103
6/3,,@,ND,4.2,6,3,1,0,1,7,109
5/28,,vs,L 0-1,5.1,4,3,1,0,3,10,103
5/23,,@,L 0-1,5.0,9,4,4,1,1,2,98
5/17,,vs,L 0-1,5.0,6,5,5,1,1,7,92
5/12,,vs,W 1-0,8.0,2,0,0,0,0,10,98
5/6,,@,W 1-0,8.0,2,0,0,0,0,7,97
4/30,,vs,L 0-1,5.0,7,5,3,2,0,9,102
4/24,,@,W 1-0,7.0,1,0,0,0,0,7,93
4/18,,vs,ND,4.0,3,0,0,0,0,5,64
4/13,,vs,W 1-0,6.0,1,1,1,1,1,6,88
4/7,,vs,W 1-0,6.1,2,1,1,1,2,6,87
4/1,,@,W 1-0,5.0,3,1,1,0,2,5,77
3/26,,@,L 0-1,0.2,4,5,5,0,2,1,37
