date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/7,,@,ND,4.1,9,9,6,2,2,4,94
7/1,,vs,L 0-1,6.0,9,3,3,2,0,7,85
6/25,,@,L 0-1,5.0,7,7,7,3,2,3,90
6/19,,vs,W 1-0,6.0,5,2,1,0,3,0,85
6/10,,vs,ND,3.1,3,1,1,0,1,2,44
6/4,,@,ND,5.0,6,5,5,3,1,4,92
5/30,,@,ND,6.0,6,3,1,1,0,6,90
5/24,,vs,W 1-0,6.1,6,3,3,1,2,3,86
5/18,,vs,L 0-1,6.0,5,2,2,1,2,5,93
5/13,,@,L 0-1,5.0,8,5,5,0,2,4,92
5/7,,vs,L 0-1,4.0,7,4,4,0,4,5,102
5/2,,@,ND,6.0,8,2,2,0,2,6,103
4/26,,vs,ND,6.1,14,7,7,1,1,3,97
4/20,,vs,ND,7.0,1,0,0,0,4,7,93
4/15,,@,ND,6.2,5,1,1,0,0,7,92
4/9,,vs,L 0-1,6.1,4,2,1,0,4,4,92
4/4,,vs,ND,5.0,4,2,2,0,2,7,103
3/29,,@,W 1-0,6.1,5,0,0,0,0,3,77
