date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/3,,@,ND,1.0,1,0,0,0,0,1,12
4/30,,@,ND,0.2,2,3,3,1,1,0,16
4/28,,@,ND,0.1,2,0,0,0,0,0,10
4/25,,vs,ND,1.0,0,0,0,0,0,0,13
4/22,,@,ND,0.2,1,0,0,0,0,0,16
4/20,,@,ND,1.0,1,0,0,0,0,0,15
4/19,,vs,ND,0.1,1,0,0,0,0,1,9
4/17,,vs,ND,1.0,0,0,0,0,1,0,19
4/15,,vs,ND,0.2,1,0,0,0,0,1,7
4/14,,vs,ND,1.0,0,0,0,0,1,1,14
4/11,,@,ND,0.2,1,1,1,1,0,0,11
4/10,,@,ND,1.2,0,0,0,0,0,2,21
4/7,,@,ND,1.0,1,1,1,0,1,0,13
4/5,,@,ND,0.1,1,2,2,0,1,0,9
4/4,,@,ND,1.0,0,0,0,0,0,1,16
3/29,,vs,ND,1.0,0,0,0,0,1,0,15
3/27,,vs,ND,1.2,0,0,0,0,0,3,20
