date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/28,,vs,ND,2.0,0,0,0,0,0,1,25
6/22,,@,W 1-0,8.0,6,0,0,0,1,9,101
6/17,,@,W 1-0,7.2,5,1,1,0,2,12,100
6/11,,vs,ND,4.0,7,5,5,3,3,5,85
6/6,,@,L 0-1,4.0,9,5,5,1,3,3,81
5/31,,vs,W 1-0,7.0,4,1,0,0,3,4,94
5/25,,vs,ND,6.0,5,1,1,1,2,3,92
5/19,,@,L 0-1,5.1,4,2,2,1,3,6,102
5/13,,vs,W 1-0,6.0,1,0,0,0,3,7,100
5/8,,vs,L 0-1,7.0,5,3,3,0,1,10,96
5/2,,@,L 0-1,4.0,6,5,5,2,4,4,89
4/26,,vs,L 0-1,5.0,4,3,3,1,4,3,88
4/20,,@,ND,5.1,10,1,1,1,3,7,104
4/15,,vs,ND,6.0,7,4,2,0,1,4,97
4/8,,@,W 1-0,5.0,6,3,2,0,3,7,96
4/3,,@,L 0-1,4.0,6,4,4,0,3,6,81
3/28,,vs,L 0-1,4.2,2,3,2,1,3,4,83
