date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/10,,@,ND,0.1,0,0,0,0,0,0,3
7/5,,@,L 0-1,7.0,7,3,3,0,0,7,98
6/29,,vs,L 0-1,4.1,8,8,7,2,2,5,86
6/24,,@,ND,5.0,3,2,2,2,2,5,86
6/18,,vs,ND,5.0,7,3,2,2,1,6,97
6/13,,@,ND,4.2,6,3,3,2,2,3,85
6/7,,vs,ND,4.1,6,5,5,0,4,4,98
6/2,,vs,ND,5.0,4,2,2,1,0,8,95
5/26,,@,W 1-0,6.0,3,2,2,1,0,5,80
5/20,,vs,L 0-1,5.0,8,4,4,0,0,5,77
5/15,,@,ND,3.2,6,6,6,2,3,2,80
5/9,,vs,ND,4.2,6,3,3,1,2,4,94
5/4,,@,W 1-0,6.0,5,0,0,0,0,5,94
4/26,,@,L 0-1,4.2,7,6,6,2,3,6,101
4/20,,@,L 0-1,4.1,6,5,5,1,4,5,88
4/14,,vs,ND,5.0,8,3,3,0,2,5,87
4/8,,@,L 0-1,6.0,5,3,3,1,1,3,84
4/3,,@,W 1-0,6.1,5,1,1,0,1,9,95
3/28,,vs,ND,5.0,5,3,3,2,2,7,91
