date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
8/26,,@,ND,5.0,3,2,1,0,2,2,74
8/21,,@,ND,4.0,4,4,4,1,2,6,88
8/14,,vs,W 1-0,5.0,4,2,2,0,2,5,87
8/8,,vs,W 1-0,6.0,3,0,0,0,1,5,85
8/3,,@,W 1-0,5.2,4,3,2,0,4,5,96
7/28,,vs,ND,4.0,7,5,3,0,1,3,91
7/22,,@,ND,6.1,2,0,0,0,1,5,84
7/11,,vs,ND,4.2,5,2,2,0,3,6,97
7/5,,@,ND,4.0,6,4,4,1,4,0,86
6/30,,@,L 0-1,6.1,7,5,5,0,2,6,97
6/25,,vs,W 1-0,5.1,5,1,1,0,3,4,75
6/19,,@,ND,6.0,6,2,2,1,2,1,74
6/13,,vs,ND,5.2,3,2,2,0,1,6,84
6/7,,@,L 0-1,5.1,1,3,2,0,2,7,88
6/2,,@,W 1-0,5.0,6,4,4,1,2,3,91
5/27,,vs,ND,5.0,8,4,4,0,2,5,91
5/22,,@,L 0-1,5.0,2,3,0,0,3,11,99
5/16,,vs,L 0-1,3.0,3,5,4,1,4,2,73
5/10,,@,ND,5.0,5,2,2,1,1,3,77
5/5,,@,L 0-1,5.0,2,2,2,0,6,4,92
4/29,,vs,L 0-1,5.0,3,3,3,1,4,6,85
4/23,,@,L 0-1,4.0,7,6,6,2,3,4,78
4/17,,vs,W 1-0,6.0,3,1,1,0,1,3,90
4/12,,@,ND,5.1,5,3,3,2,2,4,91
4/6,,vs,L 0-1,4.1,5,3,3,0,4,4,83
3/31,,@,ND,4.1,0,1,0,0,6,6,81
