date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/5,,vs,ND,4.0,6,4,4,0,2,6,88
6/29,,vs,L 0-1,1.2,7,5,2,0,1,3,55
6/24,,@,W 1-0,6.0,6,2,1,0,2,6,97
6/18,,vs,ND,6.1,3,1,1,1,1,8,88
6/12,,@,L 0-1,4.1,5,6,6,2,1,2,82
6/5,,vs,L 0-1,6.0,7,5,5,2,1,4,93
5/30,,@,L 0-1,6.2,6,5,5,3,3,10,107
5/24,,vs,ND,7.0,4,0,0,0,3,4,95
5/18,,vs,ND,5.1,7,5,5,2,0,7,90
5/11,,@,ND,6.1,1,2,2,0,3,9,101
5/2,,vs,W 1-0,5.0,3,3,1,1,2,5,90
4/25,,@,ND,5.1,6,2,2,1,0,4,86
4/19,,vs,W 1-0,7.1,5,0,0,0,1,8,95
4/14,,vs,L 0-1,5.0,5,5,5,4,2,10,94
4/9,,vs,L 0-1,8.0,7,1,1,0,0,7,101
4/4,,vs,ND,3.2,6,3,3,0,3,4,88
3/30,,@,ND,4.1,4,1,1,0,2,7,77
