date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/17,,@,W 1-0,7.0,2,0,0,0,3,2,97
7/6,,vs,W 1-0,8.0,3,1,1,1,2,5,104
6/30,,@,L 0-1,2.2,5,6,6,1,6,4,84
6/25,,vs,ND,6.0,6,2,2,0,1,6,108
6/19,,@,ND,6.0,7,2,2,1,1,7,98
6/12,,vs,L 0-1,4.2,4,4,4,0,2,5,105
6/6,,@,ND,5.2,3,1,1,1,3,5,98
6/1,,@,L 0-1,4.0,8,8,8,0,5,4,96
5/25,,vs,L 0-1,5.0,7,4,2,1,1,7,93
5/19,,@,ND,6.0,7,1,1,0,0,3,91
5/14,,@,L 0-1,5.1,6,4,4,1,2,7,105
5/9,,vs,L 0-1,4.0,3,1,1,0,3,8,94
5/2,,@,L 0-1,4.1,8,4,4,0,2,6,88
4/26,,vs,W 1-0,7.2,2,3,3,1,2,6,103
4/21,,vs,W 1-0,5.0,1,1,1,0,5,7,106
4/16,,@,W 1-0,6.0,1,0,0,0,2,6,87
4/10,,@,W 1-0,6.0,5,1,1,0,2,4,93
4/4,,vs,L 0-1,4.2,7,7,5,0,1,7,95
3/30,,@,W 1-0,6.0,2,0,0,0,2,7,88
