date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
5/8,,vs,ND,1.0,1,0,0,0,1,1,25
5/1,,@,ND,1.0,0,0,0,0,0,0,9
4/28,,vs,ND,1.0,0,0,0,0,0,0,11
4/25,,vs,ND,1.0,1,0,0,0,0,0,12
4/23,,vs,ND,1.0,0,0,0,0,0,0,9
4/21,,vs,ND,1.0,1,0,0,0,0,0,13
4/19,,@,ND,1.0,0,0,0,0,2,0,21
4/16,,@,ND,1.1,2,3,3,0,1,0,24
4/12,,@,ND,1.0,0,0,0,0,1,2,19
4/7,,vs,ND,1.0,2,0,0,0,0,0,15
4/6,,vs,ND,1.0,0,0,0,0,0,0,4
4/3,,vs,ND,1.0,0,0,0,0,0,1,12
3/31,,@,ND,1.0,1,0,0,0,0,1,15
3/30,,@,ND,1.0,0,0,0,0,0,0,8
3/28,,@,ND,2.0,0,0,0,0,0,2,23
