date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/4,,@,W 1-0,5.2,3,0,0,0,0,5,88
6/28,,vs,ND,5.0,2,0,0,0,3,9,94
6/12,,@,L 0-1,3.0,3,2,2,0,1,1,63
6/7,,vs,ND,5.0,6,3,3,0,1,7,87
6/2,,@,W 1-0,5.0,5,0,0,0,2,6,94
5/28,,vs,L 0-1,5.2,6,3,3,0,1,9,91
5/22,,@,L 0-1,3.1,8,6,3,2,0,7,78
5/17,,vs,L 0-1,6.0,5,4,4,1,0,4,90
5/12,,@,L 0-1,3.2,6,3,3,0,3,2,97
5/6,,vs,L 0-1,5.0,3,4,2,0,1,10,96
5/1,,vs,ND,3.2,5,4,4,1,3,4,91
4/25,,@,L 0-1,2.0,5,6,6,3,2,4,68
4/20,,@,ND,3.1,3,2,0,0,6,3,73
4/15,,vs,ND,6.0,2,1,1,0,3,7,97
4/9,,@,ND,5.2,5,1,1,1,3,6,89
4/4,,vs,ND,4.0,3,5,5,0,4,6,86
3/28,,@,L 0-1,4.1,4,3,2,0,4,2,89
