date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/28,,vs,ND,1.2,1,0,0,0,1,1,27
7/24,,@,ND,0.2,0,0,0,0,1,0,16
7/20,,@,ND,0.2,3,2,2,1,1,1,12
7/18,,@,ND,1.0,1,2,2,1,1,2,18
7/11,,vs,ND,0.2,2,1,1,0,0,0,15
7/8,,vs,ND,1.0,0,0,0,0,1,1,12
7/7,,vs,ND,0.1,2,1,1,0,0,0,15
7/3,,vs,ND,1.1,1,0,0,0,0,1,14
6/30,,@,ND,0.2,1,0,0,0,1,1,18
6/27,,@,W 1-0,1.0,1,1,1,1,0,1,14
6/26,,@,ND,1.0,1,0,0,0,0,1,18
6/23,,vs,ND,0.2,1,0,0,0,0,0,8
6/21,,@,ND,1.0,1,0,0,0,0,1,13
6/19,,@,ND,1.2,1,0,0,0,0,0,21
6/15,,vs,ND,0.2,1,0,0,0,2,2,27
6/13,,vs,ND,0.2,1,0,0,0,1,1,20
6/10,,@,ND,0.1,2,2,2,0,0,0,15
6/9,,@,ND,0.1,1,0,0,0,1,0,3
6/7,,@,ND,1.0,0,0,0,0,1,1,17
6/3,,vs,ND,1.1,0,0,0,0,0,1,15
6/1,,vs,ND,2.0,2,0,0,0,0,2,34
5/29,,vs,ND,1.2,1,0,0,0,0,3,18
5/27,,@,ND,1.1,0,0,0,0,0,1,16
