date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
7/9,,vs,ND,5.0,1,1,1,0,0,6,67
7/2,,@,L 0-1,5.0,9,5,5,1,2,1,87
6/27,,vs,ND,6.0,9,4,4,1,0,2,88
6/22,,vs,W 1-0,6.0,4,1,1,0,2,8,94
6/16,,@,ND,6.0,6,1,0,0,3,6,92
6/10,,vs,L 0-1,5.0,6,4,4,2,2,2,75
6/5,,vs,W 1-0,5.0,5,1,1,0,2,5,102
5/30,,@,L 0-1,6.2,6,4,4,1,2,4,89
5/24,,@,ND,6.0,2,1,1,1,2,5,92
5/18,,vs,L 0-1,5.0,5,4,4,0,4,3,89
5/13,,@,ND,6.2,5,2,2,0,2,7,106
5/5,,vs,L 0-1,3.0,9,10,7,3,1,3,60
4/30,,@,ND,6.0,6,2,2,0,0,8,99
4/24,,@,ND,4.1,4,2,2,1,5,4,89
4/19,,@,W 1-0,6.0,3,1,1,1,2,7,98
4/14,,vs,ND,7.0,4,1,1,0,2,1,87
4/8,,@,L 0-1,5.0,10,8,8,0,2,2,87
4/3,,vs,W 1-0,6.0,3,0,0,0,2,5,91
3/27,,@,ND,6.0,7,2,1,0,1,5,83
