date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/16,,@,L 0-1,4.1,5,3,3,0,3,1,93
6/10,,vs,ND,6.2,7,3,3,2,3,3,106
6/5,,vs,L 0-1,6.0,6,4,4,2,0,4,93
5/30,,@,L 0-1,6.0,5,5,5,1,1,2,77
5/24,,vs,L 0-1,3.2,5,4,4,1,4,4,81
5/18,,vs,W 1-0,7.0,4,0,0,0,2,9,100
5/13,,@,ND,5.2,6,1,1,0,2,5,99
5/7,,vs,ND,6.0,1,1,1,1,2,6,86
5/2,,vs,L 0-1,6.0,7,4,4,0,3,5,92
4/26,,@,ND,6.0,3,2,2,2,1,8,106
4/19,,@,W 1-0,5.0,1,0,0,0,4,6,105
4/14,,vs,W 1-0,6.0,4,1,1,0,2,5,85
4/8,,@,W 1-0,6.0,4,2,2,0,3,4,95
4/3,,@,L 0-1,5.2,7,4,4,1,1,5,81
3/27,,vs,ND,5.0,1,1,0,0,4,6,82
