date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
9/24,,@,L 0-1,1.1,3,2,2,1,0,2,24
9/22,,@,ND,1.0,0,0,0,0,2,0,21
9/18,,@,ND,1.0,0,0,0,0,1,2,21
9/16,,@,ND,2.0,1,1,1,1,0,4,31
9/14,,@,L 0-1,0.1,1,1,1,1,0,0,6
9/13,,vs,ND,1.0,1,0,0,0,0,1,21
9/9,,vs,ND,1.0,0,0,0,0,1,1,13
9/8,,vs,ND,1.0,1,0,0,0,0,1,14
9/6,,vs,ND,1.0,1,0,0,0,1,2,23
9/4,,vs,ND,0.1,0,3,3,0,3,0,17
9/2,,@,ND,1.0,0,0,0,0,0,0,8
8/31,,@,ND,0.2,2,1,1,1,0,1,23
8/29,,@,ND,1.1,0,0,0,0,0,1,15
8/25,,vs,ND,1.0,0,0,0,0,0,0,10
8/23,,vs,ND,2.0,2,0,0,0,0,2,31
