date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/29,,@,ND,1.0,1,0,0,0,0,2,16
6/28,,@,ND,1.0,0,0,0,0,0,1,10
6/27,,@,ND,1.0,0,0,0,0,0,0,15
6/24,,@,ND,1.0,0,0,0,0,0,2,13
6/22,,@,ND,1.0,0,0,0,0,0,1,15
6/20,,vs,ND,0.1,1,0,0,0,1,0,9
6/16,,vs,ND,2.0,3,0,0,0,1,1,29
6/10,,@,ND,1.0,2,1,1,0,0,1,11
6/7,,vs,ND,1.0,1,0,0,0,0,0,8
6/1,,@,ND,1.0,0,0,0,0,0,1,12
5/30,,vs,ND,0.1,3,3,3,0,0,1,17
5/29,,vs,ND,0.2,0,0,0,0,0,0,3
5/27,,vs,L 0-1,0.1,1,2,1,1,1,0,18
5/23,,@,ND,0.2,1,0,0,0,1,0,18
5/20,,@,ND,1.0,0,0,0,0,0,2,14
5/19,,@,ND,1.0,0,0,0,0,0,1,16
5/13,,vs,ND,1.0,0,0,0,0,1,1,21
5/11,,vs,ND,1.2,0,0,0,0,0,2,17
5/8,,vs,ND,1.0,1,0,0,0,0,0,5
5/7,,@,ND,0.2,3,1,1,0,1,1,18
5/5,,@,ND,1.0,1,1,1,1,1,0,27
5/3,,@,ND,0.1,3,2,2,0,0,0,6
5/1,,@,W 1-0,1.0,1,0,0,0,0,0,14
4/26,,vs,ND,1.0,2,0,0,0,0,0,11
4/22,,vs,ND,2.0,1,0,0,0,0,2,29
4/19,,@,ND,1.0,0,0,0,0,0,1,12
4/17,,@,ND,0.2,1,0,0,0,0,0,7
4/16,,@,ND,0.1,2,0,0,0,0,0,11
4/14,,@,ND,1.1,1,0,0,0,0,2,27
4/11,,@,ND,2.1,2,0,0,0,1,2,37
4/6,,vs,ND,0.2,1,0,0,0,0,1,17
4/4,,vs,ND,1.0,1,0,0,0,0,1,13
4/1,,@,ND,1.0,2,1,1,0,2,0,25
3/30,,@,ND,1.0,0,0,0,0,0,2,10
3/28,,@,ND,1.0,1,1,0,0,0,1,21
3/26,,@,ND,1.0,0,0,0,0,0,0,9
