date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
6/19,,vs,ND,3.2,4,6,6,2,4,4,86
6/14,,vs,L 0-1,4.0,7,8,6,3,0,5,77
6/8,,vs,ND,5.0,8,5,5,2,2,3,99
6/3,,@,ND,3.2,7,4,4,2,1,3,86
5/27,,vs,L 0-1,5.0,6,5,2,1,1,7,84
5/22,,@,L 0-1,6.1,3,4,4,3,3,3,95
5/17,,vs,L 0-1,6.0,5,2,1,1,1,3,92
5/12,,vs,L 0-1,5.0,7,4,4,0,3,5,98
5/6,,@,ND,5.1,8,2,2,1,0,4,75
4/30,,vs,ND,3.0,5,2,2,1,1,4,67
4/25,,@,L 0-1,6.0,5,4,4,1,2,4,91
4/19,,vs,L 0-1,5.0,9,7,7,4,1,7,85
4/14,,vs,W 1-0,6.1,3,1,1,0,2,5,90
4/9,,@,W 1-0,7.0,1,0,0,0,2,6,93
4/3,,vs,W 1-0,6.0,2,1,1,0,1,7,103
3/28,,@,ND,5.1,5,2,2,0,3,2,83
