date,opponent,home_away,result,ip,h,r,er,hr,bb,k,pitches
2026-08-02 00:00:00,,@,ND,2.0,1,0,0,0,0,3,32
2026-07-27 00:00:00,,@,ND,3.0,6,5,5,2,1,6,68
2026-07-21 00:00:00,,vs,L 0-1,7.0,5,2,2,1,0,9,93
2026-07-12 00:00:00,,@,W 1-0,6.0,2,0,0,0,2,10,96
2026-07-07 00:00:00,,@,W 1-0,7.0,4,1,1,1,0,14,104
2026-07-01 00:00:00,,vs,ND,4.2,9,4,4,1,1,10,104
2026-06-26 00:00:00,,@,W 1-0,7.0,4,1,1,0,1,5,98
2026-06-21 00:00:00,,vs,W 1-0,5.2,4,2,2,1,3,7,104
2026-06-15 00:00:00,,vs,W 1-0,6.0,2,0,0,0,3,9,97
2026-06-09 00:00:00,,@,ND,6.0,6,1,1,1,0,5,96
2026-06-04 00:00:00,,vs,W 1-0,7.0,2,2,2,1,3,8,104
2026-05-29 00:00:00,,@,L 0-1,6.0,5,4,4,4,1,4,90
2026-05-23 00:00:00,,vs,W 1-0,6.0,2,0,0,0,1,6,99
2026-05-17 00:00:00,,@,W 1-0,7.0,4,0,0,0,1,8,98
2026-05-12 00:00:00,,@,W 1-0,7.1,6,1,1,0,0,4,87
2026-05-06 00:00:00,,vs,ND,6.1,5,3,3,1,1,4,98
2026-05-01 00:00:00,,@,W 1-0,6.0,3,1,1,0,2,8,94
2026-04-25 00:00:00,,@,ND,5.0,3,2,2,0,3,6,84
