game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp
824804,2026-08-06T16:35:00Z,LAA @ BAL,BAL,LAA,Brandon Young,TBD,687064,,1.01,,,,,,,,,,,,,,,,,,,2,8,5,5,,,1,0.319,4,,,,,
824481,2026-08-06T16:40:00Z,ATH @ CIN,CIN,ATH,Hunter Greene,Mason Barnett,668881,686930.0,1.04,,,,,,,,,,,,,,,,,,,1,9,6,4,5.47,3.09,7,0.607,26,0.0,,0.0,,
824401,2026-08-06T17:10:00Z,NYM @ CLE,CLE,NYM,Foster Griffin,Nolan McLean,656492,690997.0,0.97,,,,,,,,,,,,,,,,,,,5,5,3,7,8.5,2.57,6,0.39,12,3.0,0.493,7.0,7.1,8.66
823754,2026-08-06T18:10:00Z,PIT @ MIL,MIL,PIT,Dustin May,Braxton Ashcraft,669160,677952.0,1.0,,,,,,,,,,,,,,,,,,,4,6,6,4,7.13,6.36,8,0.369,36,9.0,0.336,24.0,3.89,3.31
824664,2026-08-06T18:20:00Z,TOR @ CHC,CHC,TOR,David Peterson,Dylan Cease,656849,656302.0,1.02,,,,,,,,,,,,,,,,,,,6,4,6,4,3.0,4.2,10,0.258,39,11.0,0.271,87.0,2.2,2.56
823105,2026-08-06T20:10:00Z,DET @ SEA,SEA,DET,Bryce Miller,Framber Valdez,682243,664285.0,0.97,,,,,,,,,,,,,,,,,,,6,4,4,6,1.47,2.89,9,0.301,60,11.0,0.271,123.0,3.85,3.37
823430,2026-08-06T22:05:00Z,WSH @ PHI,PHI,WSH,Cristopher Sánchez,TBD,650911,,1.02,,,,,,,,,,,,,,,,,,,2,8,5,5,2.28,3.75,10,0.249,60,,,,,
824729,2026-08-06T23:10:00Z,CWS @ BOS,BOS,CWS,Ranger Suarez,Luis Castillo,624133,622491.0,1.03,,,,,,,,,,,,,,,,,,,5,5,8,2,5.35,4.57,6,0.31,27,10.0,0.362,64.0,3.51,3.73
824885,2026-08-06T23:15:00Z,MIA @ ATL,ATL,MIA,Martín Pérez,Janson Junk,527048,676083.0,0.98,,,,,,,,,,,,,,,,,,,6,4,7,3,5.01,2.74,7,0.256,24,9.0,0.29,44.0,3.87,3.17
824080,2026-08-06T23:40:00Z,MIN @ KC,KC,MIN,Michael Wacha,Bailey Ober,608379,641927.0,0.98,,,,,,,,,,,,,,,,,,,5,5,4,6,5.22,3.72,12,0.28,88,13.0,0.419,103.0,4.47,4.17
825053,2026-08-07T01:40:00Z,SD @ AZ,AZ,SD,Kohl Drake,Walker Buehler,684442,621111.0,1.05,,,,,,,,,,,,,,,,,,,8,2,5,5,,,0,,0,12.0,0.27,90.0,4.96,3.77
