game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824792,2026-09-08T22:35:00Z,CLE @ BAL,BAL,CLE,Brandon Young,Tanner Bibee,687064.0,676440.0,1.01,,,,,,,,,,,,,,,,,,,5,5,4,6,3.42,4.06,6.44,4.41,3.86,6.0,0.379,13.0,4.2,3.38,3.85,12.0,0.352,57.0
824228,2026-09-08T22:40:00Z,MIN @ DET,DET,MIN,Drew Anderson,Dean Kremer,623454.0,665152.0,0.99,,,,,,,,,,,,,,,,,,,4,6,3,7,3.73,5.81,3.19,4.25,3.25,11.0,0.281,39.0,5.9,4.66,3.77,14.0,0.436,130.0
823414,2026-09-08T22:40:00Z,HOU @ PHI,PHI,HOU,Andrew Painter,Hayden Wesneski,691725.0,669713.0,1.02,,,,,,,,,,,,,,,,,,,6,4,7,3,5.55,3.18,,,3.85,2.0,,2.0,5.47,3.9,3.61,11.0,0.314,50.0
823821,2026-09-08T22:40:00Z,NYM @ MIA,MIA,NYM,Sandy Alcantara,Sean Manaea,645261.0,640455.0,0.95,,,,,,,,,,,,,,,,,,,5,5,4,6,3.54,4.7,4.85,3.97,3.66,11.0,0.255,161.0,2.44,3.46,3.9,12.0,0.229,30.0
824714,2026-09-08T22:45:00Z,LAA @ BOS,BOS,LAA,Patrick Sandoval,Reid Detmers,663776.0,672282.0,1.03,,,,,,,,,,,,,,,,,,,2,8,6,4,4.41,3.44,2.92,3.3,3.9,5.0,0.308,17.0,2.33,2.77,3.1,13.0,0.342,53.0
823500,2026-09-08T23:05:00Z,COL @ NYY,NYY,COL,Cam Schlittler,Gabriel Hughes,693645.0,687312.0,1.05,,,,,,,,,,,,,,,,,,,3,7,6,4,2.04,6.19,,,2.49,0.0,,0.0,-0.9,,4.04,2.0,0.354,4.0
824875,2026-09-08T23:15:00Z,TB @ ATL,ATL,TB,TBD,Freddy Peralta,,642547.0,0.98,,,,,,,,,,,,,,,,,,,6,4,7,3,,4.96,,,,,,,,,,0.0,,0.0
824063,2026-09-08T23:40:00Z,AZ @ KC,KC,AZ,Michael Wacha,TBD,608379.0,,0.98,,,,,,,,,,,,,,,,,,,5,5,5,5,3.36,,5.76,3.63,3.78,10.0,0.367,84.0,,,,,,
824551,2026-09-08T23:40:00Z,PIT @ CWS,CWS,PIT,Sean Burke,Bubba Chandler,680732.0,696149.0,0.97,,,,,,,,,,,,,,,,,,,6,4,5,5,3.2,4.3,4.14,5.7,3.5,2.0,0.299,3.0,,,4.27,1.0,,1.0
823738,2026-09-08T23:40:00Z,CHC @ MIL,MIL,CHC,Jacob Misiorowski,David Peterson,694819.0,656849.0,1.0,,,,,,,,,,,,,,,,,,,5,5,5,5,1.97,5.39,3.1,2.71,1.95,11.0,0.232,105.0,4.95,4.28,3.7,13.0,0.317,83.0
823250,2026-09-09T01:40:00Z,WSH @ SD,SD,WSH,TBD,TBD,,,0.95,,,,,,,,,,,,,,,,,,,5,5,4,6,,,,,,,,,,,,,,
823092,2026-09-09T01:40:00Z,TEX @ SEA,SEA,TEX,TBD,TBD,,,0.97,,,,,,,,,,,,,,,,,,,5,5,3,7,,,,,,,,,,,,,,
824957,2026-09-09T01:40:00Z,TOR @ ATH,ATH,TOR,Jack Perkins,José Soriano,678022.0,667755.0,1.0,,,,,,,,,,,,,,,,,,,7,3,4,6,6.5,3.52,2.38,,4.14,5.0,0.44,7.0,4.47,3.08,3.54,10.0,0.238,69.0
823174,2026-09-09T01:45:00Z,STL @ SF,SF,STL,Landen Roupp,Quinn Mathews,694738.0,687273.0,0.95,,,,,,,,,,,,,,,,,,,6,4,4,6,4.17,4.38,,,3.76,3.0,0.478,6.0,,,3.9,0.0,,0.0
823901,2026-09-09T02:10:00Z,CIN @ LAD,LAD,CIN,Tarik Skubal,Nick Lodolo,669373.0,666157.0,0.96,,,,,,,,,,,,,,,,,,,7,3,5,5,2.86,5.08,0.58,1.77,2.21,4.0,0.134,22.0,4.77,4.49,4.27,12.0,0.328,63.0
