game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823337,2026-09-03T16:35:00Z,SF @ PIT,PIT,SF,TBD,Blade Tidwell,,694918,0.99,,,,,,,,,,,,,,,,,,,5,5,5,5,,4.54,,,,,,,11.54,5.61,3.62,4,0.49,6
824388,2026-09-03T17:10:00Z,TOR @ CLE,CLE,TOR,Tanner Bibee,José Soriano,676440.0,667755,0.97,,,,,,,,,,,,,,,,,,,5,5,8,2,3.88,3.45,8.0,0.38,44.0,4.73,3.54,3.83,7.64,4.98,3.48,7,0.253,42
824144,2026-09-03T18:10:00Z,CWS @ HOU,HOU,CWS,Hunter Brown,Luis Castillo,686613.0,622491,1.03,,,,,,,,,,,,,,,,,,,6,4,5,5,3.33,5.31,12.0,0.307,57.0,2.84,3.11,3.47,3.38,2.84,3.92,14,0.304,215
824796,2026-09-03T23:15:00Z,BOS @ BAL,BAL,BOS,TBD,Jake Bennett,,687562,1.01,,,,,,,,,,,,,,,,,,,5,5,7,3,,3.27,,,,,,,6.4,4.84,3.41,6,0.405,18
824632,2026-09-03T23:15:00Z,MIL @ CHC,CHC,MIL,Kevin Gausman,Logan Henderson,592332.0,701656,1.02,,,,,,,,,,,,,,,,,,,6,4,4,6,4.52,2.48,12.0,0.278,110.0,2.76,2.24,3.16,,,2.71,1,0.218,2
824069,2026-09-03T23:40:00Z,MIA @ KC,KC,MIA,Michael Wacha,Sandy Alcantara,608379.0,645261,0.98,,,,,,,,,,,,,,,,,,,5,5,7,3,3.32,3.46,4.0,0.155,9.0,2.8,,3.78,7.06,5.32,3.61,11,0.354,36
822853,2026-09-04T00:05:00Z,TB @ TEX,TEX,TB,Cal Quantrill,Shane McClanahan,615698.0,663556,1.02,,,,,,,,,,,,,,,,,,,7,3,5,5,3.01,3.19,9.0,0.266,45.0,3.51,3.47,3.94,5.84,4.0,3.53,10,0.272,35
823095,2026-09-04T01:40:00Z,ATH @ SEA,SEA,ATH,Kade Anderson,Jack Perkins,807739.0,678022,0.97,,,,,,,,,,,,,,,,,,,4,6,4,6,4.5,6.42,0.0,,0.0,,,4.23,3.88,2.32,4.13,11,0.223,29
823907,2026-09-04T02:10:00Z,STL @ LAD,LAD,STL,Tarik Skubal,Quinn Mathews,669373.0,687273,0.96,,,,,,,,,,,,,,,,,,,3,7,5,5,2.84,5.03,5.0,0.322,27.0,0.56,1.01,2.21,,,3.69,0,,0
