game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip
824463,2026-09-18T22:40:00Z,CHC @ CIN,CIN,CHC,Chase Burns,TBD,695505.0,,1.04,,,,,,,,,,,,,,,,,,,4,6,3,7,2.8,,3.49,3.01,2.95,11.0,0.246,31.0,,,,,,
823331,2026-09-18T22:40:00Z,KC @ PIT,PIT,KC,TBD,TBD,,,0.99,,,,,,,,,,,,,,,,,,,4,6,5,5,,,,,,,,,,,,,,
824790,2026-09-18T23:05:00Z,MIL @ BAL,BAL,MIL,TBD,Dustin May,,669160.0,1.01,,,,,,,,,,,,,,,,,,,7,3,6,4,,4.49,,,,,,,9.0,0.29,26.0,4.55,3.63,3.53
824383,2026-09-18T23:10:00Z,ATH @ CLE,CLE,ATH,Daniel Espino,TBD,682982.0,,0.97,,,,,,,,,,,,,,,,,,,5,5,6,4,2.92,,,,1.67,0.0,,0.0,,,,,,
822923,2026-09-18T23:10:00Z,BOS @ TB,TB,BOS,TBD,TBD,,,0.97,,,,,,,,,,,,,,,,,,,5,5,8,2,,,,,,,,,,,,,,
823572,2026-09-18T23:15:00Z,PHI @ NYM,NYM,PHI,Zac Thornton,TBD,804267.0,,0.98,,,,,,,,,,,,,,,,,,,4,6,5,5,3.44,,1.03,2.5,3.78,9.0,0.278,22.0,,,,,,
824547,2026-09-18T23:40:00Z,DET @ CWS,CWS,DET,TBD,Andrew Sears,,808825.0,0.97,,,,,,,,,,,,,,,,,,,7,3,3,7,,5.4,,,,,,,0.0,,0.0,,,4.64
822847,2026-09-19T00:05:00Z,TOR @ TEX,TEX,TOR,TBD,Dylan Cease,,656302.0,1.02,,,,,,,,,,,,,,,,,,,4,6,6,4,,2.38,,,,,,,12.0,0.326,97.0,2.88,2.84,2.37
824303,2026-09-19T00:10:00Z,SEA @ COL,COL,SEA,TBD,Bryan Woo,,693433.0,1.22,,,,,,,,,,,,,,,,,,,4,6,2,8,,3.88,,,,,,,2.0,0.302,16.0,5.04,3.66,3.05
824138,2026-09-19T00:10:00Z,ATL @ HOU,HOU,ATL,TBD,Tyler Mahle,,641816.0,1.03,,,,,,,,,,,,,,,,,,,4,6,3,7,,3.91,,,,,,,11.0,0.344,59.0,2.71,4.23,3.47
823005,2026-09-19T00:15:00Z,WSH @ STL,STL,WSH,Kyle Leahy,Cade Cavalli,681517.0,676917.0,0.99,,,,,,,,,,,,,,,,,,,4,6,4,6,3.33,3.12,1.88,,3.17,10.0,0.328,15.0,11.0,0.363,33.0,5.63,5.03,2.94
823977,2026-09-19T01:38:00Z,MIN @ LAA,LAA,MIN,Grayson Rodriguez,Connor Prielipp,680570.0,687570.0,0.97,,,,,,,,,,,,,,,,,,,3,7,5,5,6.1,5.24,4.26,6.08,4.34,8.0,0.334,28.0,0.0,,0.0,,,3.57
823252,2026-09-19T01:40:00Z,MIA @ SD,SD,MIA,TBD,Tyler Phillips,,663969.0,0.95,,,,,,,,,,,,,,,,,,,4,6,8,2,,3.55,,,,,,,6.0,0.17,9.0,2.47,3.51,4.24
825032,2026-09-19T01:40:00Z,NYY @ AZ,AZ,NYY,TBD,Gerrit Cole,,543037.0,1.05,,,,,,,,,,,,,,,,,,,7,3,6,4,,3.67,,,,,,,4.0,0.379,40.0,9.28,4.63,2.97
823898,2026-09-19T02:15:00Z,SF @ LAD,LAD,SF,TBD,Cesar Perdomo,,702885.0,0.96,,,,,,,,,,,,,,,,,,,5,5,7,3,,3.68,,,,,,,0.0,,0.0,,,3.62
