game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824503,2026-06-17T16:40:00Z,NYM @ CIN,CIN,NYM,Nick Lodolo,Nolan McLean,666157,690997.0,5.84,10,0.383,33,9.7,8.0,0.443,15.0
822721,2026-06-17T17:05:00Z,KC @ WSH,WSH,KC,Zack Littell,Luinder Avila,641793,679883.0,1.78,6,0.164,23,,1.0,0.071,1.0
823450,2026-06-17T17:05:00Z,MIA @ PHI,PHI,MIA,Andrew Painter,Sandy Alcantara,691725,645261.0,3.56,7,0.284,19,4.0,11.0,0.321,188.0
824178,2026-06-17T18:10:00Z,DET @ HOU,HOU,DET,Peter Lambert,Casey Mize,663567,663554.0,12.75,5,0.428,9,3.29,8.0,0.214,30.0
823044,2026-06-17T18:15:00Z,SD @ STL,STL,SD,Kyle Leahy,TBD,681517,,3.39,8,0.368,24,,,,
823940,2026-06-17T19:10:00Z,TB @ LAD,LAD,TB,Shohei Ohtani,Shane McClanahan,660271,663556.0,11.82,5,0.325,14,6.78,6.0,0.306,29.0
825072,2026-06-17T19:40:00Z,LAA @ AZ,AZ,LAA,Eduardo Rodriguez,Sam Aldegheri,593958,691951.0,6.0,5,0.464,47,,0.0,,0.0
824746,2026-06-17T22:45:00Z,TOR @ BOS,BOS,TOR,Jake Bennett,Max Scherzer,687562,453286.0,,0,,0,4.25,9.0,0.311,48.0
823536,2026-06-17T23:05:00Z,CWS @ NYY,NYY,CWS,Carlos Rodón,Anthony Kay,607074,641743.0,2.63,8,0.341,52,,2.0,0.211,2.0
824913,2026-06-17T23:15:00Z,SF @ ATL,ATL,SF,JR Ritchie,Robbie Ray,702275,592662.0,,0,,0,4.46,10.0,0.335,52.0
823774,2026-06-17T23:40:00Z,CLE @ MIL,MIL,CLE,Brandon Sproat,Gavin Williams,687075,668909.0,,0,,0,3.51,9.0,0.304,28.0
824668,2026-06-18T00:05:00Z,COL @ CHC,CHC,COL,Javier Assad,Sean Sullivan,665871,807743.0,5.07,5,0.424,24,,0.0,,0.0
824992,2026-06-18T01:40:00Z,PIT @ ATH,ATH,PIT,Aaron Civale,Braxton Ashcraft,650644,677952.0,5.86,7,0.314,58,-0.5,6.0,0.218,6.0
823127,2026-06-18T01:40:00Z,BAL @ SEA,SEA,BAL,George Kirby,Kyle Bradish,669923,680694.0,4.04,11,0.287,111,8.15,11.0,0.364,62.0
