game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823694,2026-06-13T18:10:00Z,STL @ MIN,MIN,STL,Connor Prielipp,Matthew Liberatore,687570.0,669461.0,,0.0,,0.0,3.52,7.0,0.534,17.0
822802,2026-06-13T19:07:00Z,NYY @ TOR,TOR,NYY,TBD,Cam Schlittler,,693645.0,,,,,2.17,12.0,0.308,61.0
824828,2026-06-13T20:05:00Z,SD @ BAL,BAL,SD,Trey Gibson,Randy Vásquez,694346.0,681190.0,,0.0,,0.0,11.31,6.0,0.558,17.0
822725,2026-06-13T20:05:00Z,SEA @ WSH,WSH,SEA,Cade Cavalli,Luis Castillo,676917.0,622491.0,,0.0,,0.0,3.34,4.0,0.335,21.0
823369,2026-06-13T20:05:00Z,MIA @ PIT,PIT,MIA,Bubba Chandler,TBD,696149.0,,,0.0,,0.0,,,,
824508,2026-06-13T20:10:00Z,AZ @ CIN,CIN,AZ,Rhett Lowder,Michael Soroka,695076.0,647336.0,,1.0,0.276,2.0,7.96,10.0,0.479,26.0
824426,2026-06-13T20:10:00Z,DET @ CLE,CLE,DET,Joey Cantillo,Tarik Skubal,676282.0,669373.0,4.8,12.0,0.361,48.0,1.14,9.0,0.191,121.0
824749,2026-06-13T20:10:00Z,TEX @ BOS,BOS,TEX,Ranger Suarez,Jacob deGrom,624133.0,594798.0,2.13,7.0,0.253,62.0,2.57,7.0,0.217,17.0
823616,2026-06-13T20:10:00Z,ATL @ NYM,NYM,ATL,TBD,Martín Pérez,,527048.0,,,,,3.83,9.0,0.336,64.0
824587,2026-06-13T20:10:00Z,LAD @ CWS,CWS,LAD,Sean Burke,Yoshinobu Yamamoto,680732.0,808967.0,6.96,7.0,0.303,18.0,1.77,3.0,0.136,11.0
824100,2026-06-13T23:10:00Z,HOU @ KC,KC,HOU,Noah Cameron,Mike Burrows,702070.0,681347.0,3.1,1.0,0.274,2.0,,1.0,0.485,1.0
823776,2026-06-13T23:10:00Z,PHI @ MIL,MIL,PHI,Shane Drohan,Aaron Nola,675660.0,605400.0,,0.0,,0.0,2.3,11.0,0.249,97.0
824995,2026-06-14T02:05:00Z,COL @ ATH,ATH,COL,Jeffrey Springs,Kyle Freeland,605488.0,607536.0,0.82,5.0,0.178,12.0,6.59,6.0,0.537,19.0
823213,2026-06-14T02:05:00Z,CHC @ SF,SF,CHC,Trevor McDonald,Ben Brown,686790.0,676962.0,2.16,10.0,0.292,21.0,1.65,9.0,0.177,36.0
824019,2026-06-14T02:07:00Z,TB @ LAA,LAA,TB,TBD,Griffin Jax,,643377.0,,,,,-0.2,8.0,0.149,14.0
