game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823451,2026-06-16T22:40:00Z,MIA @ PHI,PHI,MIA,Jesús Luzardo,Tyler Phillips,666200,663969.0,2.15,12,0.244,81,2.42,10.0,0.264,28.0
822723,2026-06-16T22:45:00Z,KC @ WSH,WSH,KC,Foster Griffin,Michael Wacha,656492,608379.0,,0,,0,5.13,10.0,0.302,26.0
824750,2026-06-16T22:45:00Z,TOR @ BOS,BOS,TOR,Payton Tolle,TBD,801139,,5.5,8,0.36,13,,,,
823535,2026-06-16T23:05:00Z,CWS @ NYY,NYY,CWS,Gerrit Cole,Davis Martin,543037,663436.0,1.92,2,0.275,35,5.96,9.0,0.396,30.0
824504,2026-06-16T23:10:00Z,NYM @ CIN,CIN,NYM,Brady Singer,TBD,663903,,1.86,8,0.313,50,,,,
824912,2026-06-16T23:15:00Z,SF @ ATL,ATL,SF,Grant Holmes,Adrian Houser,656550,605288.0,1.85,4,0.142,15,3.69,12.0,0.344,81.0
823775,2026-06-16T23:40:00Z,CLE @ MIL,MIL,CLE,Robert Gasser,Slade Cecconi,688107,677944.0,-0.87,1,,3,2.87,10.0,0.291,18.0
823045,2026-06-16T23:45:00Z,SD @ STL,STL,SD,Andre Pallante,Michael King,669467,650633.0,3.41,6,0.3,33,4.93,8.0,0.204,27.0
824667,2026-06-17T00:05:00Z,COL @ CHC,CHC,COL,Edward Cabrera,Ryan Feltner,665795,663372.0,5.14,10,0.384,35,4.8,10.0,0.367,38.0
822888,2026-06-17T00:05:00Z,MIN @ TEX,TEX,MIN,Kumar Rocker,Zebby Matthews,677958,805673.0,,0,,0,3.6,8.0,0.341,23.0
824182,2026-06-17T00:10:00Z,DET @ HOU,HOU,DET,Hunter Brown,Framber Valdez,686613,664285.0,2.25,11,0.23,94,3.92,4.0,0.373,16.0
825070,2026-06-17T01:40:00Z,LAA @ AZ,AZ,LAA,Merrill Kelly,Reid Detmers,518876,672282.0,1.36,9,0.305,23,0.9,3.0,0.113,8.0
824991,2026-06-17T01:40:00Z,PIT @ ATH,ATH,PIT,Jack Perkins,Mitch Keller,678022,656605.0,,1,,1,6.83,9.0,0.401,39.0
823128,2026-06-17T01:40:00Z,BAL @ SEA,SEA,BAL,Logan Gilbert,Brandon Young,669302,687064.0,3.06,10,0.302,80,3.1,8.0,0.304,21.0
823939,2026-06-17T02:10:00Z,TB @ LAD,LAD,TB,Justin Wrobleski,Drew Rasmussen,680736,656876.0,4.97,5,0.219,9,2.56,10.0,0.244,44.0
