game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824916,2026-06-07T17:35:00Z,PIT @ ATL,ATL,PIT,Bryce Elder,Bubba Chandler,693821,696149.0,3.48,9,0.261,36,1.79,7.0,0.092,17.0
823453,2026-06-07T17:35:00Z,CWS @ PHI,PHI,CWS,Aaron Nola,David Sandlin,605400,689818.0,3.28,5,0.335,30,,0.0,,0.0
823537,2026-06-07T17:35:00Z,BOS @ NYY,NYY,BOS,Cam Schlittler,Connelly Early,693645,813349.0,2.29,10,0.231,42,1.32,9.0,0.233,37.0
822807,2026-06-07T17:37:00Z,BAL @ TOR,TOR,BAL,Kevin Gausman,Shane Baz,592332,669358.0,4.74,8,0.395,91,3.1,8.0,0.295,58.0
824268,2026-06-07T17:40:00Z,SEA @ DET,DET,SEA,Jack Flaherty,Luis Castillo,656427,622491.0,4.02,11,0.334,74,2.62,10.0,0.295,81.0
823857,2026-06-07T17:40:00Z,TB @ MIA,MIA,TB,Sandy Alcantara,Griffin Jax,645261,643377.0,4.42,8,0.285,46,0.88,5.0,0.414,5.0
824183,2026-06-07T18:10:00Z,ATH @ HOU,HOU,ATH,Mike Burrows,Gage Jump,681347,695611.0,2.1,9,0.431,16,,0.0,,0.0
823696,2026-06-07T18:10:00Z,KC @ MIN,MIN,KC,Connor Prielipp,Noah Cameron,687570,702070.0,,0,,0,2.1,8.0,0.263,27.0
823047,2026-06-07T18:15:00Z,CIN @ STL,STL,CIN,Michael McGreevy,Rhett Lowder,700241,695076.0,2.62,9,0.228,27,2.27,4.0,0.234,8.0
822890,2026-06-07T18:35:00Z,CLE @ TEX,TEX,CLE,Jacob deGrom,Joey Cantillo,594798,676282.0,2.84,2,0.298,25,-0.23,5.0,0.237,11.0
824349,2026-06-07T19:10:00Z,MIL @ COL,COL,MIL,Kyle Freeland,Shane Drohan,607536,675660.0,4.51,11,0.28,81,,0.0,,0.0
825074,2026-06-07T19:15:00Z,WSH @ AZ,AZ,WSH,Michael Soroka,Cade Cavalli,647336,676917.0,,1,,1,,1.0,,2.0
823941,2026-06-07T20:10:00Z,LAA @ LAD,LAD,LAA,Emmet Sheehan,José Soriano,686218,667755.0,1.46,5,0.121,12,4.5,12.0,0.325,48.0
823291,2026-06-07T20:10:00Z,NYM @ SD,SD,NYM,Randy Vásquez,TBD,681190,,3.1,9,0.222,22,,,,
824670,2026-06-08T00:30:00Z,SF @ CHC,CHC,SF,Jameson Taillon,Trevor McDonald,592791,686790.0,6.39,5,0.369,50,,1.0,0.377,3.0
