game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
824788,2026-09-19T20:05:00Z,MIL @ BAL,BAL,MIL,TBD,Robert Gasser,,688107.0,1.01,,,,,,,,,,,,,,,,,,,7,3,6,4,,4.3,,,,,,,,,3.65,0.0,,0.0
822921,2026-09-19T20:10:00Z,BOS @ TB,TB,BOS,Freddy Peralta,TBD,642547.0,,0.97,,,,,,,,,,,,,,,,,,,5,5,8,2,4.67,,10.0,0.431,65.0,6.72,4.86,3.81,,,,,,
823571,2026-09-19T20:10:00Z,PHI @ NYM,NYM,PHI,Christian Scott,TBD,681035.0,,0.98,,,,,,,,,,,,,,,,,,,5,5,4,6,3.76,,11.0,0.282,38.0,2.8,2.9,3.46,,,,,,
824380,2026-09-19T22:10:00Z,ATH @ CLE,CLE,ATH,Tanner Bibee,Jacob Lopez,676440.0,682052.0,0.97,,,,,,,,,,,,,,,,,,,4,6,6,4,4.16,5.02,10.0,0.223,49.0,1.16,2.5,3.89,6.41,4.03,4.53,11.0,0.245,27.0
824461,2026-09-19T22:40:00Z,CHC @ CIN,CIN,CHC,Nick Lodolo,Matthew Boyd,666157.0,571510.0,1.04,,,,,,,,,,,,,,,,,,,4,6,2,8,5.12,4.16,12.0,0.317,129.0,5.08,5.11,4.32,5.61,4.84,3.79,10.0,0.405,73.0
823330,2026-09-19T22:40:00Z,KC @ PIT,PIT,KC,Bubba Chandler,Noah Cameron,696149.0,702070.0,0.99,,,,,,,,,,,,,,,,,,,4,6,6,4,4.28,3.84,1.0,0.56,2.0,,,4.27,4.47,,3.69,5.0,0.359,12.0
822843,2026-09-19T23:05:00Z,TOR @ TEX,TEX,TOR,Cal Quantrill,José Soriano,615698.0,667755.0,1.02,,,,,,,,,,,,,,,,,,,4,6,6,4,2.9,3.56,10.0,0.186,26.0,1.46,2.74,3.86,3.3,3.01,3.5,12.0,0.293,75.0
824137,2026-09-19T23:10:00Z,ATL @ HOU,HOU,ATL,Hayden Wesneski,Grant Holmes,669713.0,656550.0,1.03,,,,,,,,,,,,,,,,,,,4,6,4,6,3.7,3.49,11.0,0.302,36.0,4.5,4.83,3.7,3.63,4.82,4.09,6.0,0.276,15.0
824545,2026-09-19T23:10:00Z,DET @ CWS,CWS,DET,Sean Burke,Jackson Jobe,680732.0,695549.0,0.97,,,,,,,,,,,,,,,,,,,7,3,3,7,3.47,3.89,10.0,0.299,52.0,4.25,4.93,3.54,7.43,5.18,3.86,10.0,0.474,29.0
823003,2026-09-19T23:15:00Z,WSH @ STL,STL,WSH,Michael McGreevy,Andrew Alvarez,700241.0,674841.0,0.99,,,,,,,,,,,,,,,,,,,4,6,4,6,3.83,3.35,10.0,0.282,25.0,2.5,3.43,3.86,,,3.43,0.0,,0.0
824304,2026-09-20T00:10:00Z,SEA @ COL,COL,SEA,Gabriel Hughes,Bryce Miller,687312.0,682243.0,1.22,,,,,,,,,,,,,,,,,,,5,5,1,9,6.37,4.19,0.0,,0.0,,,3.95,0.61,1.84,3.62,6.0,0.287,24.0
825029,2026-09-20T00:10:00Z,NYY @ AZ,AZ,NYY,Brandon Pfaadt,Cam Schlittler,694297.0,693645.0,1.05,,,,,,,,,,,,,,,,,,,7,3,5,5,3.77,1.95,9.0,0.386,53.0,8.34,4.31,3.71,2.76,3.8,2.41,1.0,0.321,14.0
823249,2026-09-20T00:40:00Z,MIA @ SD,SD,MIA,Casey Mize,Eury Pérez,663554.0,691587.0,0.95,,,,,,,,,,,,,,,,,,,5,5,9,1,3.69,3.99,7.0,0.248,19.0,1.48,,3.85,2.71,4.37,3.58,8.0,0.281,40.0
823899,2026-09-20T01:10:00Z,SF @ LAD,LAD,SF,Tarik Skubal,TBD,669373.0,,0.96,,,,,,,,,,,,,,,,,,,5,5,7,3,2.7,,2.0,0.149,5.0,0.17,,2.23,,,,,,
823976,2026-09-20T01:38:00Z,MIN @ LAA,LAA,MIN,Reid Detmers,Joe Ryan,672282.0,657746.0,0.97,,,,,,,,,,,,,,,,,,,3,7,5,5,3.36,3.84,8.0,0.317,29.0,6.29,6.74,3.05,1.08,2.21,3.18,10.0,0.244,68.0
