game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,park_factor,away_woba,away_wrc_plus,away_obp,away_ops_plus,away_barrel,away_hard_hit,away_k_pct,away_bb_pct,away_babip,home_woba,home_wrc_plus,home_obp,home_ops_plus,home_barrel,home_hard_hit,home_k_pct,home_bb_pct,home_babip,away_last10_w,away_last10_l,home_last10_w,home_last10_l,home_pitcher_season_era,away_pitcher_season_era,home_pitcher_fip_vs_opp,home_pitcher_xfip_vs_opp,home_pitcher_season_xfip,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs,away_pitcher_fip_vs_opp,away_pitcher_xfip_vs_opp,away_pitcher_season_xfip
824382,2026-09-16T17:10:00Z,CWS @ CLE,CLE,CWS,Parker Messick,TBD,800048,,0.97,,,,,,,,,,,,,,,,,,,4,6,5,5,2.51,,3.66,2.62,2.85,12,0.263,72,,,,,,
823004,2026-09-16T17:15:00Z,SF @ STL,STL,SF,Matthew Liberatore,TBD,669461,,0.99,,,,,,,,,,,,,,,,,,,4,6,5,5,5.53,,0.73,,3.52,2,0.002,5,,,,,,
823655,2026-09-16T17:40:00Z,NYY @ MIN,MIN,NYY,Zebby Matthews,Carlos Rodón,805673,607074.0,1.01,,,,,,,,,,,,,,,,,,,7,3,3,7,4.98,2.94,6.64,4.61,3.85,9,0.475,44,11.0,0.267,63.0,3.24,3.02,3.6
822763,2026-09-16T19:07:00Z,DET @ TOR,TOR,DET,Max Scherzer,Keider Montero,453286,672456.0,1.0,,,,,,,,,,,,,,,,,,,7,3,5,5,6.38,3.55,1.53,2.0,4.56,8,0.242,64,8.0,0.389,37.0,6.42,4.51,3.93
824467,2026-09-16T22:40:00Z,LAD @ CIN,CIN,LAD,Andrew Abbott,Blake Snell,671096,605483.0,1.04,,,,,,,,,,,,,,,,,,,8,2,3,7,4.78,1.91,4.15,5.79,4.29,3,0.466,15,8.0,0.258,30.0,3.13,4.01,2.52
822926,2026-09-16T22:40:00Z,ATH @ TB,TB,ATH,Nick Martinez,Brady Basso,607259,669620.0,0.97,,,,,,,,,,,,,,,,,,,7,3,7,3,2.92,3.86,3.16,3.66,4.04,12,0.216,54,8.0,0.173,8.0,1.1,3.44,3.79
823332,2026-09-16T22:40:00Z,MIL @ PIT,PIT,MIL,Jared Jones,Logan Henderson,683003,701656.0,0.99,,,,,,,,,,,,,,,,,,,6,4,7,3,4.1,2.34,4.47,2.0,3.03,12,0.359,35,9.0,0.379,26.0,6.23,3.75,2.7
822680,2026-09-16T22:45:00Z,PHI @ WSH,WSH,PHI,Cade Cavalli,Zack Wheeler,676917,554430.0,1.0,,,,,,,,,,,,,,,,,,,4,6,3,7,3.12,3.14,3.75,3.46,2.94,10,0.354,82,10.0,0.306,101.0,3.93,2.59,2.72
823576,2026-09-16T23:10:00Z,BAL @ NYM,NYM,BAL,Robert Stock,Chris Bassitt,476594,605135.0,0.98,,,,,,,,,,,,,,,,,,,4,6,6,4,5.93,4.88,1.17,,4.04,1,0.125,3,9.0,0.231,77.0,2.13,2.53,4.44
824626,2026-09-16T23:40:00Z,ATL @ CHC,CHC,ATL,Shota Imanaga,JR Ritchie,684007,702275.0,1.02,,,,,,,,,,,,,,,,,,,4,6,5,5,3.88,4.5,4.32,3.54,3.47,10,0.291,64,8.0,0.305,12.0,3.4,4.33,4.5
822846,2026-09-17T00:05:00Z,BOS @ TEX,TEX,BOS,MacKenzie Gore,Jake Bennett,669022,687562.0,1.02,,,,,,,,,,,,,,,,,,,7,3,5,5,4.62,3.69,5.31,4.53,3.58,9,0.364,41,0.0,,0.0,,,3.43
824140,2026-09-17T00:10:00Z,KC @ HOU,HOU,KC,Cristian Javier,Daniel Lynch IV,664299,663738.0,1.03,,,,,,,,,,,,,,,,,,,4,6,4,6,5.5,3.52,5.89,5.49,4.4,8,0.353,27,9.0,0.174,25.0,2.54,4.35,3.97
824306,2026-09-17T00:40:00Z,SD @ COL,COL,SD,Mason Adams,Robbie Ray,690279,592662.0,1.22,,,,,,,,,,,,,,,,,,,9,1,1,9,3.38,3.57,,,3.48,0,,0,11.0,0.342,66.0,3.67,4.3,4.48
823979,2026-09-17T01:38:00Z,SEA @ LAA,LAA,SEA,Yusei Kikuchi,George Kirby,579328,669923.0,0.97,,,,,,,,,,,,,,,,,,,4,6,4,6,4.75,4.25,5.02,2.99,3.71,8,0.327,100,12.0,0.357,76.0,5.53,4.11,3.45
825031,2026-09-17T01:40:00Z,MIA @ AZ,AZ,MIA,Merrill Kelly,Ryan Gusto,518876,687473.0,1.05,,,,,,,,,,,,,,,,,,,3,7,6,4,4.97,4.14,2.47,3.16,4.68,12,0.258,62,10.0,0.269,16.0,2.6,2.99,3.89
